PART,L1,L2,Total,Vruddhi,Not Vruddhi,Not sure
part1,4,9,16,5,5,6,96
part3,63,15,153,55,60,38,8329
part6,4,21,302,0,250,52,45452
part8,14,23,628,0,545,83,196879
part9,60,67,583,296,100,187,140054
part13,1,55,71,0,63,8,2486
part14,3,18,41,3,31,7,728
part16,1,9,71,14,49,8,1800
part20,39,489,889,462,275,152,267667
part21,9,10,58,1,46,11,1608
part25,1,28,82,0,70,12,3322
part27,2,8,42,3,35,4,757
part28,15,14,43,15,20,8,604
part29,22,68,3181,370,2235,576,4230841
part30,15,24,170,51,89,30,9827
