Node(Gold),Score,#1st neighbors,#2nd neighbors,#3rd neighbors
N304,2149817.625,865,2996282,0
N1846,1683817.625,713,2475527,0
N938,1503721.375,495,2143896,0
N932,1662122.125,631,2177800,0
N930,1683817.625,713,2475527,0
N2381,2149817.625,865,2996282,0
N462,1662122.125,631,2177800,0
N2446,1683817.625,713,2475527,0
N2016,1683794.625,713,2475527,0
N785,1482007.625,413,1846169,0
N786,2128145.75,783,2698555,0
N160,1683811.5,713,2475527,0
N162,1662122.125,631,2177800,0
N764,1503703.125,495,2143896,0
N763,947688.625,420,1374707,0
N762,1683817.625,713,2475527,0
N807,947682.625,420,1374707,0
N804,1503703.125,495,2143896,0
N1529,767495.625,202,1042858,0
N1449,947688.625,420,1374707,0
N1833,1662122.125,631,2177800,0
N2448,1662122.125,631,2177800,0
N2333,1683817.625,713,2475527,0
N98,947682.625,420,1374707,0
N92,1683817.625,713,2475527,0
N113,1413688.125,572,1895614,0
N1627,1503703.125,495,2143896,0
N1782,1503721.375,495,2143896,0
N1786,1503719.625,495,2143896,0
N1785,1482007.625,413,1846169,0
N1232,1503703.125,495,2143896,0
N1237,1683817.625,713,2475527,0
N1011,1662093.125,631,2177800,0
N1151,1683811.625,713,2475527,0
N1156,1503703.125,495,2143896,0
N1154,1683817.625,713,2475527,0
N2610,1662122.125,631,2177800,0
N2590,1683817.625,713,2475527,0
N2205,1503721.375,495,2143896,0
N1715,1683817.625,713,2475527,0
N1308,1482005.875,413,1846169,0
N340,1662122.125,631,2177800,0
N433,2128145.75,783,2698555,0
N344,1662122.125,631,2177800,0
N973,2283439.625,895,3097256,0
N2050,1482007.625,413,1846169,0
N2504,947682.625,420,1374707,0
N2506,1482007.625,413,1846169,0
N503,1683817.625,713,2475527,0
N502,767477.375,202,1042858,0
N2295,1683794.625,713,2475527,0
N504,1683794.625,713,2475527,0
N2113,1662099.125,631,2177800,0
N508,1683794.625,713,2475527,0
N235,947705.625,420,1374707,0
N231,1662122.125,631,2177800,0
N482,1662099.125,631,2177800,0
N2544,1503703.125,495,2143896,0
N1875,1683794.625,713,2475527,0
N339,1503721.375,495,2143896,0
N485,1683817.625,713,2475527,0
N720,1683794.625,713,2475527,0
N330,1662122.125,631,2177800,0
N724,1683817.625,713,2475527,0
N2371,1503721.375,495,2143896,0
N1388,1662099.125,631,2177800,0
N1405,1662116.875,631,2177800,0
N1407,1662122.125,631,2177800,0
N2543,1662116.125,631,2177800,0
N2471,1683812.375,713,2475527,0
N1582,1683817.625,713,2475527,0
N654,1683817.625,713,2475527,0
N658,1482025.875,413,1846169,0
N1474,1503703.125,495,2143896,0
N1297,2149841.25,865,2996282,0
N1292,1503721.375,495,2143896,0
N1350,1503721.375,495,2143896,0
N2172,1662122.125,631,2177800,0
N1618,1503721.375,495,2143896,0
N1122,2128122.125,783,2698555,0
N579,767477.375,202,1042858,0
N2255,1503703.125,495,2143896,0
N2158,1662099.125,631,2177800,0
N2157,1503721.375,495,2143896,0
N2155,1683817.625,713,2475527,0
N2259,1662122.125,631,2177800,0
N1724,1662122.125,631,2177800,0
N1052,1662122.125,631,2177800,0
N1722,1683817.625,713,2475527,0
