Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N54,53569.0,345140.625,56,364,135912,780401,0,0
N1730,53567.25,345118.625,56,364,135912,780401,0,0
N1568,53567.25,345113.375,56,364,135912,780401,0,0
N2471,53567.25,345118.625,56,364,135912,780401,0,0
N495,53567.25,345113.375,56,364,135912,780401,0,0
N1713,83895.0,439861.5,98,474,197968,960626,0,0
N713,53567.25,345113.375,56,364,135912,780401,0,0
N1925,53568.75,345140.125,56,364,135912,780401,0,0
N242,83897.625,439887.25,98,474,197968,960626,0,0
N186,53568.75,345134.875,56,364,135912,780401,0,0
N973,53567.25,345113.375,56,364,135912,780401,0,0
N1530,49183.75,191990.625,52,150,125148,486044,0,0
N1462,53567.25,345113.375,56,364,135912,780401,0,0
N1320,53567.25,345113.375,56,364,135912,780401,0,0
N1251,53567.25,345113.375,56,364,135912,780401,0,0
N1594,49186.0,192008.375,52,150,125148,486044,0,0
N1645,49186.0,192006.625,52,150,125148,486044,0,0
N2167,53568.75,345134.875,56,364,135912,780401,0,0
N1085,53567.25,345113.375,56,364,135912,780401,0,0
N1450,53567.25,345113.375,56,364,135912,780401,0,0
N2398,53567.25,345113.375,56,364,135912,780401,0,0
N1109,49183.75,191990.625,52,150,125148,486044,0,0
N637,83895.0,439861.5,98,474,197968,960626,0,0
N1156,49186.0,192006.625,52,150,125148,486044,0,0
N1313,53568.75,345134.875,56,364,135912,780401,0,0
N106,53567.25,345113.375,56,364,135912,780401,0,0
N2350,83897.375,439882.75,98,474,197968,960626,0,0
N2233,53567.25,345113.375,56,364,135912,780401,0,0
N643,49183.5,191990.875,51,151,125149,486043,0,0
N1582,53567.25,345113.375,56,364,135912,780401,0,0
N2259,53567.25,345113.375,56,364,135912,780401,0,0
N1232,49186.0,192006.625,52,150,125148,486044,0,0
N2044,53568.75,345134.875,56,364,135912,780401,0,0
N231,53567.25,345113.375,56,364,135912,780401,0,0
N1687,53567.25,345113.375,56,364,135912,780401,0,0
N1237,53567.25,345113.375,56,364,135912,780401,0,0
N1033,53567.25,345113.375,56,364,135912,780401,0,0
N1171,83895.0,439861.5,98,474,197968,960626,0,0
N1792,53568.75,345134.875,56,364,135912,780401,0,0
N683,53567.25,345113.375,56,364,135912,780401,0,0
N2550,49183.75,191990.625,52,150,125148,486044,0,0
N1728,53567.5,345119.125,56,364,135912,780401,0,0
N2321,53567.25,345113.375,56,364,135912,780401,0,0
N2016,53568.75,345134.875,56,364,135912,780401,0,0
N11,49183.75,191990.625,52,150,125148,486044,0,0
N1411,53568.75,345134.875,56,364,135912,780401,0,0
N1041,49186.0,192006.625,52,150,125148,486044,0,0
N1782,49183.75,191990.625,52,150,125148,486044,0,0
N2381,83897.375,439882.75,98,474,197968,960626,0,0
N692,53567.25,345113.375,56,364,135912,780401,0,0
N835,53568.75,345134.875,56,364,135912,780401,0,0
N2561,49184.0,191992.375,52,150,125148,486044,0,0
N759,49186.0,192006.625,52,150,125148,486044,0,0
N363,53567.25,345113.375,56,364,135912,780401,0,0
N1308,49186.0,192008.375,52,150,125148,486044,0,0
N1967,53568.75,345134.875,56,364,135912,780401,0,0
N1556,53567.25,345113.375,56,364,135912,780401,0,0
N2172,53567.25,345113.375,56,364,135912,780401,0,0
N896,53567.25,345113.375,56,364,135912,780401,0,0
N401,53568.75,345134.875,56,364,135912,780401,0,0
