Node(Unlabel),GoldLabel,Predicted,L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1026,L1,L2,0,369147.5,0,154,0,373756,0,0
N966,L2,L2,0,38460.5,0,32,0,46120,0,0
N360,L1,L2,0,38460.5,0,32,0,46120,0,0
N301,L1,L2,0,369147.5,0,154,0,373756,0,0
N304,L1,L2,0,369147.5,0,154,0,373756,0,0
N194,L1,L2,0,380972.25,0,179,0,380471,0,0
N195,L1,L2,0,38460.5,0,32,0,46120,0,0
N196,L1,L2,0,369147.5,0,154,0,373756,0,0
N1000,L2,L2,0,369147.5,0,154,0,373756,0,0
N703,L1,L2,0,369156.0,0,154,0,373756,0,0
N87,L1,L2,0,369147.5,0,154,0,373756,0,0
N553,L1,L1,0,369147.5,0,154,0,373756,0,0
N656,L1,L2,0,369156.0,0,154,0,373756,0,0
N50,L1,L2,0,369147.5,0,154,0,373756,0,0
N216,L1,L2,0,369147.5,0,154,0,373756,0,0
N172,L1,L2,0,369147.5,0,154,0,373756,0,0
N617,L2,L2,0,369147.5,0,154,0,373756,0,0
N670,L1,L2,0,369147.5,0,154,0,373756,0,0
N813,L2,L2,0,38460.5,0,32,0,46120,0,0
N280,L1,L2,0,369147.5,0,154,0,373756,0,0
N565,L1,L2,0,369156.0,0,154,0,373756,0,0
N685,L1,L1,0,369147.5,0,154,0,373756,0,0
N23,L1,L2,0,369156.0,0,154,0,373756,0,0
N780,L1,L2,0,369147.5,0,154,0,373756,0,0
N782,L1,L1,0,369147.5,0,154,0,373756,0,0
N787,L2,L2,0,380972.25,0,179,0,380471,0,0
N24,L1,L2,0,369147.5,0,154,0,373756,0,0
N234,L1,L2,0,369147.5,0,154,0,373756,0,0
N251,L1,L2,0,369147.5,0,154,0,373756,0,0
N704,L1,L2,0,369147.5,0,154,0,373756,0,0
N1034,L1,L2,0,369147.5,0,154,0,373756,0,0
N453,L1,L1,0,369147.5,0,154,0,373756,0,0
N259,L1,L2,0,369147.5,0,154,0,373756,0,0
N544,L1,L2,0,369147.5,0,154,0,373756,0,0
N606,L1,L2,0,369147.5,0,154,0,373756,0,0
N1038,L1,L2,0,369147.5,0,154,0,373756,0,0
N191,L1,L2,0,369147.5,0,154,0,373756,0,0
N925,L1,L1,0,369147.5,0,154,0,373756,0,0
N924,L1,L1,0,369147.5,0,154,0,373756,0,0
N729,L1,L2,0,38460.5,0,32,0,46120,0,0
N926,L1,L2,0,369147.5,0,154,0,373756,0,0
N101,L1,L1,0,369147.5,0,154,0,373756,0,0
N537,L1,L1,0,369147.5,0,154,0,373756,0,0
N745,L2,L2,0,369147.5,0,154,0,373756,0,0
N887,L2,L2,0,38460.5,0,32,0,46120,0,0
N587,L1,L2,0,369147.5,0,154,0,373756,0,0
N740,L1,L2,0,369147.5,0,154,0,373756,0,0
N314,L1,L2,0,369147.5,0,154,0,373756,0,0
N144,L1,L2,0,369147.5,0,154,0,373756,0,0
N334,L1,L2,0,369147.5,0,154,0,373756,0,0
N551,L1,L1,0,369147.5,0,154,0,373756,0,0
N804,L1,L2,0,369147.5,0,154,0,373756,0,0
N293,L1,L2,0,369147.5,0,154,0,373756,0,0
N71,L1,L2,0,369156.0,0,154,0,373756,0,0
N72,L1,L2,0,369147.5,0,154,0,373756,0,0
N313,L1,L2,0,369147.5,0,154,0,373756,0,0
N906,L1,L1,0,369147.5,0,154,0,373756,0,0
N901,L1,L1,0,369147.5,0,154,0,373756,0,0
N520,L1,L2,0,369147.5,0,154,0,373756,0,0
N981,L1,L2,0,369147.5,0,154,0,373756,0,0
N417,L1,L2,0,380972.25,0,179,0,380471,0,0
N647,L1,L1,0,369147.5,0,154,0,373756,0,0
N860,L1,L2,0,369156.0,0,154,0,373756,0,0
N371,L1,L2,0,369147.5,0,154,0,373756,0,0
N863,L1,L1,0,369147.5,0,154,0,373756,0,0
N519,L1,L2,0,369156.0,0,154,0,373756,0,0
N699,L2,L2,0,369147.5,0,154,0,373756,0,0
N826,L1,L2,0,369147.5,0,154,0,373756,0,0
