Node(Unlabel),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N1212,104231.5,69246.75,70,31,113736,84460,0,0
N1484,104231.5,69246.75,70,31,113736,84460,0,0
N397,104231.5,69246.75,70,31,113736,84460,0,0
N1912,104231.5,69246.75,70,31,113736,84460,0,0
N2225,125669.5,460664.5,77,198,127671,296580,0,0
N658,32052.0,439063.5,13,198,29939,253242,0,0
N818,104231.5,69246.75,70,31,113736,84460,0,0
N1376,32052.0,439063.5,13,198,29939,253242,0,0
N544,125669.5,460664.5,77,198,127671,296580,0,0
N430,104231.5,69246.75,70,31,113736,84460,0,0
N1201,104231.5,69246.75,70,31,113736,84460,0,0
N119,32052.0,439063.5,13,198,29939,253242,0,0
N2308,104231.5,69246.75,70,31,113736,84460,0,0
N2741,32052.0,439063.5,13,198,29939,253242,0,0
N478,32052.0,439063.5,13,198,29939,253242,0,0
N439,104231.5,69246.75,70,31,113736,84460,0,0
N2808,104231.5,69246.75,70,31,113736,84460,0,0
N1818,104231.5,69246.75,70,31,113736,84460,0,0
N644,104231.5,69246.75,70,31,113736,84460,0,0
N1392,104231.5,69246.75,70,31,113736,84460,0,0
N402,104231.5,69246.75,70,31,113736,84460,0,0
N252,32052.0,439063.5,13,198,29939,253242,0,0
N79,125669.5,460664.5,77,198,127671,296580,0,0
N2051,32052.0,439063.5,13,198,29939,253242,0,0
N2041,104231.5,69246.75,70,31,113736,84460,0,0
N665,104231.5,69246.75,70,31,113736,84460,0,0
N1356,32052.0,439063.5,13,198,29939,253242,0,0
N888,125669.5,460664.5,77,198,127671,296580,0,0
N163,32052.0,439063.5,13,198,29939,253242,0,0
N1616,104231.5,69246.75,70,31,113736,84460,0,0
N1684,104231.5,69246.75,70,31,113736,84460,0,0
N663,32052.0,439063.5,13,198,29939,253242,0,0
N1608,104231.5,69246.75,70,31,113736,84460,0,0
N1865,32052.0,439063.5,13,198,29939,253242,0,0
N1438,104231.5,69246.75,70,31,113736,84460,0,0
N2293,104231.5,69246.75,70,31,113736,84460,0,0
N2625,125669.5,460664.5,77,198,127671,296580,0,0
