Node(Gold),L1Score,L2Score,#1st nb L1,#1st nb L2,#2nd nb L1,#2nd nb L2,#3rd nb L1,#3rd nb L2
N14,9533.0,666.5,59,1,5875,628,0,0
N22,9533.0,666.5,59,1,5875,628,0,0
N84,9533.0,666.5,59,1,5875,628,0,0
N21,9533.0,666.5,59,1,5875,628,0,0
N3,9533.0,666.5,59,1,5875,628,0,0
N131,9533.0,666.5,59,1,5875,628,0,0
N13,9533.0,666.5,59,1,5875,628,0,0
N153,2721.0,2186.5,3,14,2553,1366,0,0
N150,2720.0,2187.5,2,15,2554,1365,0,0
N60,9533.0,666.5,59,1,5875,628,0,0
N49,9533.0,666.5,59,1,5875,628,0,0
N47,9533.0,666.5,59,1,5875,628,0,0
N50,9533.0,666.5,59,1,5875,628,0,0
N9,9533.0,666.5,59,1,5875,628,0,0
N116,9533.0,666.5,59,1,5875,628,0,0
N32,9533.0,666.5,59,1,5875,628,0,0
N149,2720.0,2187.5,2,15,2554,1365,0,0
N109,9533.0,666.5,59,1,5875,628,0,0
N86,9533.0,666.5,59,1,5875,628,0,0
N15,9533.0,666.5,59,1,5875,628,0,0
N125,2721.0,2186.5,3,14,2553,1366,0,0
N67,9533.0,666.5,59,1,5875,628,0,0
N5,9533.0,666.5,59,1,5875,628,0,0
N139,2721.0,2186.5,3,14,2553,1366,0,0
N45,9533.0,666.5,59,1,5875,628,0,0
N52,9533.0,666.5,59,1,5875,628,0,0
N59,9533.0,666.5,59,1,5875,628,0,0
N148,2721.0,2186.5,3,14,2553,1366,0,0
N24,9533.0,666.5,59,1,5875,628,0,0
N46,9533.0,666.5,59,1,5875,628,0,0
N29,9533.0,666.5,59,1,5875,628,0,0
N117,9533.0,666.5,59,1,5875,628,0,0
N145,9533.0,666.5,59,1,5875,628,0,0
N26,9533.0,666.5,59,1,5875,628,0,0
N85,9533.0,666.5,59,1,5875,628,0,0
N144,9533.0,666.5,59,1,5875,628,0,0
N87,9533.0,666.5,59,1,5875,628,0,0
N6,9533.0,666.5,59,1,5875,628,0,0
N63,9533.0,666.5,59,1,5875,628,0,0
N142,9533.0,666.5,59,1,5875,628,0,0
N130,9533.0,666.5,59,1,5875,628,0,0
N111,9533.0,666.5,59,1,5875,628,0,0
N23,9533.0,666.5,59,1,5875,628,0,0
N132,2720.0,2187.5,2,15,2554,1365,0,0
N27,9533.0,666.5,59,1,5875,628,0,0
N51,9533.0,666.5,59,1,5875,628,0,0
N62,9533.0,666.5,59,1,5875,628,0,0
N31,9533.0,666.5,59,1,5875,628,0,0
N143,9533.0,666.5,59,1,5875,628,0,0
N25,9533.0,666.5,59,1,5875,628,0,0
N110,9533.0,666.5,59,1,5875,628,0,0
N28,9533.0,666.5,59,1,5875,628,0,0
N4,9533.0,666.5,59,1,5875,628,0,0
N61,9533.0,666.5,59,1,5875,628,0,0
N30,9533.0,666.5,59,1,5875,628,0,0
N108,9533.0,666.5,59,1,5875,628,0,0
