
,N997,N2920,N3133,N1891,N2484,N2939,N2872,N2033,N2402,N3117,N549,N1287,N901,N2678,N963,N998,N2235,N668,N3014,N3163,N1668,N2268,N1662,N1364,N2147,N2491,N316,N1712,N225,N556,N1996,N3092,N1619,N987,N2712,N296,N3061,N1859,N1552,N1121,N58,N1104,N737,N3180,N2211,N1550,N3082,N2013,N2860,N757,N3132,N230,N326,N711,N2969,N1453,N1928,N1086,N353,N694,N466,N1258,N86,N2761,N14,N745,N2124,N1675,N1174,N42,N391,N1454,N1610,N1637,N246,N1986,N66,N614,N2048,N204,N1207,N2706,N2683,N1265,N3011,N2588,N408,N461,N1710,N103,Average
N1416,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N3133,1,2,0,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1.426
N249,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N1215,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N1943,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N1070,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N819,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N2161,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N3158,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N1872,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N2533,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N2245,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N26,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,1,2,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,2,1,1.422
N1325,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N2914,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1.366
N402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0
