Part#,+--,Seeds,--+,+-,Gold label,-+,Total unique,Nodes in
 ,L1,L2,Total,L1gold,L2gold,Totalgold,nodes,Graph
1,3,3,6,0,3,3,9,16
2,77,77,154,195,0,195,349,2679
3,10,10,20,52,4,56,76,153
4,6,6,12,8,1,9,21,26
6,4,4,8,0,5,5,13,302
7,10,10,20,90,3,93,113,231
8,9,9,18,4,6,10,28,628
9,48,48,96,11,12,23,119,583
11,6,6,12,2,6,8,20,308
13,1,1,2,0,11,11,13,71
14,3,3,6,0,4,4,10,41
15,82,82,164,15,375,390,554,3141
16,1,1,2,0,2,2,4,71
17,8,8,16,21,2,23,39,209
19,23,23,46,5,5,10,56,371
20,32,32,64,6,450,456,520,889
21,6,6,12,2,2,4,16,58
23,56,56,112,192,17,209,321,3433
25,1,1,2,0,6,6,8,82
26,54,54,108,60,8,68,176,2583
27,2,2,4,0,2,2,6,42
28,9,9,18,4,3,7,25,43
29,17,17,34,4,18,22,56,3181
30,10,10,20,3,5,8,28,170
