Node,Mapping,Goldlabel,Predict,L1 confidence,L2confidence
N344,Amanasya->amanas,L2,L2,0.068,0.079
N345,Amanasya->Amanas,-,L2,0.068,0.069
N346,kAruRya->karuRa,-,L2,0.067,0.08
N347,kAruRya->karuRA,-,L2,0.068,0.08
N340,sAvarRya->savarRa,L2,L2,0.077,0.088
N341,sAvarRya->sAvarRa,-,L2,0.077,0.084
N342,sAvarRya->savarRA,-,L2,0.078,0.092
N343,sAvarRya->sAvarRi,-,L2,0.077,0.084
N2918,pAlitya->pAli,-,L2,0.063,0.065
N348,kAruRya->karuRI,-,L2,0.067,0.08
N349,kAruRya->karuR,-,L2,0.066,0.079
N3002,nEHsnehya->niHsnehA,-,L2,0.069,0.082
N2919,sAmya->sAma,-,L1,0.419,0.056
N1653,cEtanya->cetana,-,L2,0.076,0.091
N2318,Bojya->BojA,-,L1,0.064,0.053
N2319,Bojya->Boj,-,L1,0.065,0.051000000000000004
N2316,ESAnya->ISAnI,-,L2,0.064,0.079
N2317,Bojya->Boja,-,L1,0.074,0.07200000000000001
N2314,ESAnya->ISAnA,-,L2,0.064,0.079
N2315,ESAnya->ESAnI,-,L2,0.064,0.066
N2312,ESAnya->ESAna,-,L2,0.075,0.081
N2313,ESAnya->ISAna,-,L2,0.076,0.08700000000000001
N2310,akzoBya->akzoBa,-,L1,0.075,0.07100000000000001
N2311,ArzaBya->fzaBa,L2,L2,0.074,0.085
N298,vaSya->vaSI,-,L1,0.07100000000000001,0.066
N299,mETunya->mETuna,-,L2,0.07200000000000001,0.076
N296,vaSya->vaSa,-,L1,0.07100000000000001,0.066
N297,vaSya->vaSA,-,L1,0.07100000000000001,0.067
N294,vAdya->vAdI,-,L2,0.063,0.065
N295,vaSya->vaS,-,L1,0.587,0.04
N292,vAdya->vAdi,-,L2,0.064,0.069
N293,vAdya->vadi,-,L2,0.075,0.092
N290,vAdya->vAda,-,L2,0.075,0.083
N291,vAdya->vada,-,L2,0.075,0.092
N2147,prAmodya->pramodA,-,L2,0.077,0.094
N270,cOrya->cUr,-,L2,0.067,0.081
N271,sPAwikya->sPAwika,-,L2,0.077,0.084
N272,sPAwikya->sPawika,-,L2,0.079,0.096
N273,sPAwikya->sPawikA,-,L2,0.079,0.096
N274,sPAwikya->sPAwikI,-,L2,0.07,0.07200000000000001
N275,DArzwya->DArzwa,-,L2,0.076,0.083
N276,avaDArya->avaDAra,-,L1,0.07,0.057
N277,Ayya->Aya,-,L2,0.067,0.068
N278,Ayya->aya,-,L2,0.066,0.079
N279,Ayya->AyA,-,L2,0.062,0.064
N1780,anAdya->anAda,-,L1,0.076,0.075
N2146,prAmodya->pramoda,-,L2,0.077,0.094
N2268,mOlya->mUlI,-,L2,0.063,0.077
N2269,mOlya->mul,-,L2,0.063,0.078
N2262,mOlya->mUl,-,L1,0.9440000000000001,0.004
N2263,mOlya->mOla,-,L2,0.069,0.07100000000000001
N2260,vEmuKya->vimuKI,-,L2,0.063,0.079
N2261,praRaya->praRa,-,L1,0.07100000000000001,0.063
N2266,mOlya->mUlA,-,L2,0.063,0.077
N2267,mOlya->mOli,-,L2,0.063,0.066
N2264,mOlya->mUla,-,L2,0.075,0.085
N2265,mOlya->mOlA,-,L2,0.062,0.064
N2442,rAjya->rAji,-,L2,0.066,0.07
N2443,rAjya->raji,-,L2,0.075,0.091
N2440,rAjya->rAjA,-,L2,0.066,0.069
N2441,rAjya->rajA,-,L2,0.076,0.091
N1781,anAdya->anAdi,-,L2,0.076,0.078
N2447,sOSIlya->suSIlA,-,L2,0.068,0.081
N2444,rAjya->rAjI,-,L2,0.066,0.069
N2445,rAjya->raj,-,L2,0.075,0.089
N2448,vEguRya->viguRa,L2,L2,0.075,0.08600000000000001
N2449,anyAya->anyA,-,L1,0.075,0.074
N2189,sOmya->soma,-,L2,0.076,0.08700000000000001
N108,sOSabdya->suSabda,-,L2,0.077,0.093
N109,anavaroDya->anavaroDa,-,L2,0.077,0.079
N102,vAruRya->varuRA,-,L2,0.077,0.092
N103,vAruRya->vAruRi,-,L2,0.069,0.073
N100,vAruRya->vAruRa,-,L2,0.076,0.084
N101,vAruRya->varuRa,-,L2,0.077,0.093
N106,pAriRAyya->pariRaya,L2,L2,0.076,0.088
N107,sOSabdya->sOSabda,-,L2,0.076,0.084
N104,vAruRya->vAruRI,-,L2,0.069,0.07200000000000001
N105,goprekzya->goprekza,-,L2,0.078,0.079
N2046,nirapatya->nirapa,-,L1,0.075,0.07100000000000001
N2047,dAkziRya->dakziRa,L2,L2,0.074,0.084
N2044,sOtya->sUta,L2,L2,0.07200000000000001,0.082
N2045,sAmAnADikaraRya->samAnADikaraRa,L2,L2,0.074,0.083
N2042,kalya->kali,-,L2,0.075,0.076
N2043,dAyAdya->dAyAda,-,L2,0.073,0.076
N2040,kalya->kal,-,L1,0.451,0.053
N2041,kalya->kalA,-,L2,0.075,0.076
N2048,dAkziRya->dAkziRa,-,L2,0.07100000000000001,0.073
N2049,dAkziRya->dakziRA,-,L2,0.076,0.08700000000000001
N1372,nirmUlya->nirmUla,-,L1,0.07100000000000001,0.059000000000000004
N2737,kAzAya->kazA,-,L2,0.076,0.08700000000000001
N2038,Avanaya->avani,L2,L2,0.07200000000000001,0.083
N2836,dAsya->dAs,-,L2,0.064,0.065
N1001,tOlya->tul,-,L2,0.065,0.079
N1210,rAjanya->rajanI,-,L2,0.07200000000000001,0.085
N1375,jAWarya->jaWara,-,L2,0.069,0.08
N2688,EkAtmya->ekAtman,-,L2,0.05,0.443
N2689,EkAtmya->ekAtma,-,L2,0.075,0.088
N2684,pAramArTya->paramArTa,-,L2,0.074,0.088
N2685,kArtsnya->kArtsna,-,L2,0.075,0.08
N2686,sAhasikya->sAhasika,-,L2,0.075,0.08
N2687,avArya->avAra,-,L1,0.075,0.07200000000000001
N2680,sArupya->sarupa,-,L2,0.052000000000000005,0.421
N1655,cEtanya->cetanI,-,L2,0.066,0.079
N2682,agamya->agama,-,L1,0.075,0.07100000000000001
N2683,dOrvacasya->durvacas,-,L2,0.052000000000000005,0.41200000000000003
N1374,jAWarya->jAWara,-,L2,0.07,0.07100000000000001
N99,pravrajya->pravraj,-,L2,0.076,0.08
N98,prAstutya->prastuta,L2,L2,0.077,0.088
N3019,Onnatya->unnata,-,L2,0.051000000000000004,0.428
N91,arakzya->arakza,-,L2,0.078,0.078
N90,akledya->akleda,-,L2,0.077,0.078
N93,kAluzya->kaluza,-,L2,0.077,0.092
N92,prAcaRqaya->pracaRqa,L2,L2,0.076,0.08700000000000001
N95,dEhya->deha,-,L2,0.075,0.091
N94,kAluzya->kaluzA,-,L2,0.077,0.091
N97,dEhya->dih,-,L2,0.064,0.08
N96,dEhya->diha,-,L2,0.075,0.091
N1623,vAhya->vaha,-,L2,0.076,0.08700000000000001
N1622,vAhya->vAha,-,L2,0.07200000000000001,0.076
N1621,vAhya->vah,-,L1,0.354,0.064
N1620,vAhya->vAh,-,L1,0.9390000000000001,0.004
N1627,BarmaRya->Barman,L2,L1,0.074,0.073
N1626,vAhya->vah,-,L2,0.076,0.088
N1625,vAhya->vahi,-,L2,0.076,0.08700000000000001
N1624,vAhya->vahA,-,L2,0.075,0.08700000000000001
N1999,kOSikya->kOSika,-,L2,0.07,0.07200000000000001
N1998,pOnaHpunya->punaHpunA,-,L2,0.069,0.083
N1629,gOlya->gula,-,L2,0.073,0.08600000000000001
N1377,Ojasya->Ojasa,-,L2,0.07,0.07100000000000001
N3013,adeSya->adeSa,-,L1,0.075,0.07200000000000001
N2860,pArASarya->pArASarI,-,L2,0.075,0.079
N2861,pArASarya->parASarI,-,L2,0.074,0.088
N2862,tanaya->tana,-,L1,0.074,0.07200000000000001
N2863,svarAjya->svarAj,-,L1,0.075,0.075
N559,trEliNgya->triliNga,-,L2,0.069,0.082
N558,trEliNgya->trEliNga,-,L2,0.07,0.07200000000000001
N2866,sOkzmya->sOkzma,-,L2,0.07200000000000001,0.076
N2867,sOkzmya->sukzma,-,L2,0.075,0.088
N555,nErguRya->nirguRA,-,L2,0.064,0.079
N554,nErguRya->nirguRa,L2,L2,0.07,0.081
N557,sAmagrya->sAmagrI,-,L2,0.07100000000000001,0.07200000000000001
N556,sAmagrya->samagra,L2,L2,0.07,0.081
N551,lOlupya->lolupA,-,L2,0.063,0.078
N550,lOlupya->lolupa,-,L2,0.067,0.08
N553,pureSaya->pureSa,-,L1,0.069,0.057
N552,aniyamya->aniyama,-,L1,0.069,0.057
N2744,vizya->viza,-,L2,0.054,0.401
N1439,stanya->stana,-,L1,0.075,0.074
N1199,vargya->vargA,-,L1,0.07200000000000001,0.066
N1198,vargya->varga,-,L1,0.073,0.069
N1191,utsUrya->utsUra,-,L1,0.078,0.076
N1190,cARakya->caRakA,-,L2,0.076,0.089
N1193,dOrlaBya->durlaBA,-,L2,0.075,0.085
N1192,dOrlaBya->durlaBa,-,L2,0.076,0.088
N1195,pakzya->pakzi,-,L1,0.073,0.068
N1194,pakzya->pakza,L2,L1,0.073,0.07
N1197,pakzya->pakz,-,L1,0.074,0.068
N1196,pakzya->pakzI,-,L1,0.073,0.068
N1759,kArya->kArI,-,L2,0.067,0.069
N1758,kArya->kari,-,L2,0.076,0.09
N1757,kArya->kArA,-,L2,0.067,0.069
N1756,kArya->kara,-,L2,0.076,0.09
N1755,kArya->kAra,-,L2,0.076,0.082
N1754,kAMsya->kAMs,-,L2,0.069,0.07
N1753,kAMsya->kaMsA,-,L2,0.076,0.089
N1752,kAMsya->kaMsa,-,L2,0.076,0.089
N1751,kAMsya->kAMsa,-,L2,0.076,0.082
N1750,kAMsya->kaMs,-,L1,0.374,0.061
N1177,AtiSayya->atiSaya,L2,L2,0.075,0.088
N1176,pANgulya->paNgula,-,L2,0.076,0.092
N1175,prAtipakzya->pratipakzI,-,L2,0.078,0.095
N1174,prAtipakzya->prAtipakza,-,L2,0.076,0.083
N1173,prAtipakzya->pratipakza,L2,L2,0.075,0.08600000000000001
N1172,bAliSya->baliSa,-,L2,0.075,0.089
N1171,bAliSya->bAliSa,L2,L2,0.075,0.08
N1170,anirdeSya->anirdeSa,-,L1,0.076,0.074
N1179,apya->apa,-,L1,0.075,0.075
N1178,viparyaya->viparya,-,L2,0.077,0.079
N511,rOpya->rUpA,-,L2,0.065,0.079
N2964,mAhizya->mAhiza,-,L2,0.073,0.076
N510,rOpya->ropa,-,L2,0.075,0.08600000000000001
N513,rOpya->rUp,-,L2,0.066,0.08
N1285,mahAcArya->mahAcArI,-,L1,0.075,0.069
N1284,kAtarya->katara,-,L2,0.074,0.08600000000000001
N1287,sodarya->sodarI,-,L2,0.077,0.078
N512,rOpya->ropi,-,L2,0.065,0.079
N1281,bfhatyAdya->bfhatyAdi,-,L1,0.074,0.069
