+---	Nodes in Step 1	---+

+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
| Part# | +-- | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique | Nodes in |
+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
|       |  L1 |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |  Graph   |
|       |     |       |       |        |            |           |              |          |
|   1   |  3  |   3   |   6   |   0    |     3      |     3     |      9       |    16    |
|   2   |  77 |   77  |  154  |  195   |     0      |    195    |     349      |   2679   |
|   3   |  10 |   10  |   20  |   51   |     4      |     55    |      75      |   153    |
|   4   |  6  |   6   |   12  |   8    |     1      |     9     |      21      |    26    |
|   6   |  4  |   4   |   8   |   0    |     5      |     5     |      13      |   302    |
|   7   |  11 |   11  |   22  |   88   |     3      |     91    |     113      |   231    |
|   8   |  9  |   9   |   18  |   4    |     6      |     10    |      28      |   628    |
|   9   |  48 |   48  |   96  |   11   |     12     |     23    |     119      |   583    |
|   11  |  6  |   6   |   12  |   2    |     6      |     8     |      20      |   308    |
|   13  |  1  |   1   |   2   |   0    |     11     |     11    |      13      |    71    |
|   14  |  3  |   3   |   6   |   0    |     4      |     4     |      10      |    41    |
|   15  |  84 |   84  |  168  |   13   |    375     |    388    |     556      |   3141   |
|   16  |  1  |   1   |   2   |   0    |     2      |     2     |      4       |    71    |
|   17  |  8  |   8   |   16  |   19   |     2      |     21    |      37      |   209    |
|   19  |  23 |   23  |   46  |   5    |     5      |     10    |      56      |   371    |
|   20  |  32 |   32  |   64  |   6    |    449     |    455    |     519      |   889    |
|   21  |  6  |   6   |   12  |   2    |     2      |     4     |      16      |    58    |
|   23  |  57 |   57  |  114  |  190   |     17     |    207    |     321      |   3433   |
|   25  |  1  |   1   |   2   |   0    |     6      |     6     |      8       |    82    |
|   26  |  54 |   54  |  108  |   60   |     8      |     68    |     176      |   2583   |
|   27  |  2  |   2   |   4   |   0    |     2      |     2     |      6       |    42    |
|   28  |  9  |   9   |   18  |   4    |     3      |     7     |      25      |    43    |
|   29  |  17 |   17  |   34  |   4    |     18     |     22    |      56      |   3181   |
|   30  |  10 |   10  |   20  |   3    |     5      |     8     |      28      |   170    |
+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
