+---	Results for Step 1 part 15	---+


Results as compiled on 22-08-2016 23:26


+-----------+--------+--------+
|   Detail  |   L1   |   L2   |
+-----------+--------+--------+
| Precision | 38.461 |  76.0  |
|   Recall  | 5.263  | 97.269 |
|  Accuracy |   =>   | 74.742 |
+-----------+--------+--------+

+-------+---------------------------------+-----------+---------+---------------+--------------+
|  Node |             Mapping             | Goldlabel | Predict | L1 confidence | L2confidence |
+-------+---------------------------------+-----------+---------+---------------+--------------+
|  N344 |         Amanasya->amanas        |     L2    |    L2   |     0.063     |    0.079     |
|  N340 |        sAvarRya->savarRa        |     L2    |    L2   |     0.063     |    0.079     |
| N2919 |           sAmya->sAma           |     -     |    L1   |     0.315     |    0.046     |
| N2311 |          ArzaBya->fzaBa         |     L2    |    L2   |     0.063     |    0.079     |
|  N295 |            vaSya->vaS           |     -     |    L1   |     0.429     |    0.031     |
| N2262 |            mOlya->mUl           |     -     |    L1   |     0.417     |    0.048     |
| N2448 |         vEguRya->viguRa         |     L2    |    L2   |     0.063     |    0.079     |
|  N106 |       pAriRAyya->pariRaya       |     L2    |    L2   |     0.063     |    0.079     |
| N2047 |        dAkziRya->dakziRa        |     L2    |    L2   |     0.063     |    0.079     |
| N2044 |           sOtya->sUta           |     L2    |    L2   |     0.062     |    0.077     |
| N2045 | sAmAnADikaraRya->samAnADikaraRa |     L2    |    L2   |     0.063     |    0.079     |
| N2040 |            kalya->kal           |     -     |    L1   |     0.429     |    0.031     |
| N2038 |          Avanaya->avani         |     L2    |    L2   |     0.063     |    0.079     |
| N2688 |         EkAtmya->ekAtman        |     -     |    L2   |     0.038     |    0.426     |
| N2680 |         sArupya->sarupa         |     -     |    L2   |     0.038     |    0.426     |
| N2683 |       dOrvacasya->durvacas      |     -     |    L2   |     0.038     |    0.426     |
|  N98  |       prAstutya->prastuta       |     L2    |    L2   |     0.063     |    0.079     |
| N3019 |         Onnatya->unnata         |     -     |    L2   |     0.038     |    0.426     |
|  N92  |       prAcaRqaya->pracaRqa      |     L2    |    L2   |     0.063     |    0.079     |
| N1621 |            vAhya->vah           |     -     |    L1   |     0.417     |    0.048     |
| N1620 |            vAhya->vAh           |     -     |    L1   |     0.387     |    0.041     |
| N1627 |         BarmaRya->Barman        |     L2    |    L1   |     0.064     |    0.052     |
|  N554 |        nErguRya->nirguRa        |     L2    |    L2   |     0.063     |    0.079     |
|  N556 |        sAmagrya->samagra        |     L2    |    L2   |     0.063     |    0.079     |
| N2744 |           vizya->viza           |     -     |    L2   |     0.043     |    0.344     |
| N1194 |          pakzya->pakza          |     L2    |    L1   |     0.064     |    0.052     |
| N1750 |           kAMsya->kaMs          |     -     |    L1   |     0.417     |    0.048     |
