+---	Results for Step 1 part 23	---+


Results as compiled on 20-08-2016 18:46


+-----------+---------------+--------------+
|   Detail  |       L1      |      L2      |
+-----------+---------------+--------------+
| Precision | 76.1904761905 | 22.972972973 |
|   Recall  |     100.0     |    100.0     |
|  Accuracy |       =>      |    100.0     |
+-----------+---------------+--------------+

+-------+-------------------------+-----------+---------+----------------------+-----------------------+
|  Node |         Mapping         | Goldlabel | Predict |    L1 confidence     |      L2confidence     |
+-------+-------------------------+-----------+---------+----------------------+-----------------------+
|  N344 |       svApa->svap       |     L1    |    L1   |  0.320188301133709   |  0.033025163359058314 |
| N2317 |        SAKa->SAK        |     L1    |    L1   |  0.3620745868498924  |  0.02865971400404461  |
|  N291 |      dArzada->dfzad     |     L2    |    L2   | 0.055646839049807405 |   0.271002396372613   |
|  N272 |        aBra->aBr        |     L1    |    L1   |  0.9705003615702121  |  7.356020144470587E-4 |
|  N275 |      sPUrja->sPUrj      |     L1    |    L1   |  0.9696795351197814  |  7.698853018874561E-4 |
| N2442 |        SOna->Sun        |     L1    |    L1   |  0.2809597927228789  |  0.035489224831371756 |
|  N105 |        kEwa->kiw        |     L1    |    L1   |  0.3553411888389964  |  0.03166907211889001  |
| N2048 |         Una->Una        |     L1    |    L1   |  0.9100289015966467  | 0.0034617004221875565 |
| N1001 |        SARa->SaR        |     -     |    L1   |  0.2623617794635008  |  0.035591480095146566 |
| N1375 |        mana->man        |     -     |    L1   |  0.9368203890617881  | 0.0023434443274600357 |
| N1374 |        Kana->Kan        |     -     |    L1   |  0.9375774417154418  |  0.002312015661425593 |
|  N91  |        vAma->vam        |     L1    |    L1   |  0.3575489903519334  |  0.03153535233481038  |
| N3209 |       kampa->kamp       |     -     |    L1   |  0.8791957052495455  |  0.004750831609422048 |
| N3013 |        SApa->Sap        |     L1    |    L1   | 0.32424290022285335  |  0.03334756403160666  |
| N2866 |        nAga->nAga       |     -     |    L2   | 0.05118761010421853  |   0.3267728505462611  |
| N1757 |   dOhitrAyaRa->dOhitra  |     -     |    L2   | 0.05592753097942499  |   0.3088434151306233  |
| N1177 |       BrASa->BrAS       |     L1    |    L1   | 0.35846737591310995  |   0.028326859844978   |
| N1285 |        vepa->vep        |     L1    |    L1   |  0.9421547438514457  | 0.0021218946211140066 |
| N1284 |    nAkzatra->nakzatra   |     L2    |    L2   | 0.05770699932118594  |  0.22729572763407982  |
| N1287 |        nESa->niS        |     L1    |    L1   |  0.2484061388097019  |  0.03652772556562221  |
|  N458 |        busa->bus        |     L1    |    L1   |  0.962659253676695   |  0.001269586235062682 |
|  N404 |        sAha->sah        |     L1    |    L1   |  0.3121642093200656  |  0.033380863520504796 |
| N1378 |       svAna->svan       |     -     |    L1   | 0.24482181732342942  |  0.036772372960618416 |
| N1346 |        siva->siv        |     L1    |    L1   |  0.9390956445899192  |  0.00224897675143317  |
|  N391 |        gAha->gAh        |     L1    |    L1   | 0.40824473526924476  |  0.026267297521958347 |
|  N390 |    prAtijYa->pratijYA   |     -     |    L2   | 0.054483865449855375 |  0.29317917370959307  |
| N3203 |      kOmAra->kumAra     |     -     |    L1   |  0.3423935337624834  |  0.03245524965233323  |
|  N248 |   prAtihAra->pratihAra  |     -     |    L2   |  0.0531174207888512  |  0.31142112488837226  |
| N2457 |   dOrBrAtra->durBrAtf   |     -     |    L2   | 0.043994828322337705 |  0.39936144964548737  |
|  N171 |        mOca->muc        |     L1    |    L1   |  0.3433722236459153  |  0.03206340697848616  |
| N2051 |      SAkuna->Sakuna     |     L2    |    L2   | 0.056339760045356874 |   0.2353682309374249  |
| N1503 |  OttAnapAda->uttAnapAda |     -     |    L2   |  0.058069625297228   |  0.21879558630659007  |
| N1507 |        nEja->nij        |     L1    |    L1   | 0.23976809935126236  |  0.03715583393212444  |
| N1367 |        vARa->vaR        |     -     |    L1   | 0.24511862686100683  |  0.03671879491842152  |
| N1505 |        vama->vam        |     L1    |    L1   |  0.9345517681376706  | 0.0024378474693268286 |
| N3083 |      SvaBra->SvaBr      |     L1    |    L1   |  0.8825247028224298  |  0.00461210918667979  |
