+---	Results for Step 1 part 29	---+


Results as compiled on 20-08-2016 18:48


+-----------+---------------+---------------+
|   Detail  |       L1      |       L2      |
+-----------+---------------+---------------+
| Precision | 18.1818181818 | 26.4705882353 |
|   Recall  |     100.0     |     100.0     |
|  Accuracy |       =>      |     100.0     |
+-----------+---------------+---------------+

+-------+--------------------------+-----------+---------+----------------------+----------------------+
|  Node |         Mapping          | Goldlabel | Predict |    L1 confidence     |     L2confidence     |
+-------+--------------------------+-----------+---------+----------------------+----------------------+
|  N296 |    ambikeyaka->ambikA    |     L2    |    L2   | 0.008769097560266814 | 0.19138139178349367  |
| N2147 |   pravfttaka->pravftta   |     -     |    L2   | 0.008769097560266814 | 0.19138139178349364  |
| N2268 |    prAGuRaka->prAGuRa    |     -     |    L2   | 0.008931707818806396 | 0.23907622543443777  |
|  N103 |      Ozwraka->uzwra      |     L2    |    L2   | 0.012390296942957965 | 0.44770564154543996  |
| N2048 |     dASeraka->dASera     |     -     |    L2   | 0.008931707818806396 | 0.23907622543443782  |
| N2683 |  prAtihAraka->prAtihAra  |     -     |    L2   | 0.008931707818806396 | 0.23907622543443777  |
| N2860 |      nAraka->naraka      |     -     |    L2   | 0.012390296942957964 | 0.44770564154543996  |
|  N556 |       vAwaka->vAwa       |     L1    |    L1   | 0.21937649658382702  | 0.02832257839310499  |
| N1174 |     kOleyaka->Qakay      |     -     |    L2   | 0.008769097560266814 | 0.19138139178349364  |
| N1287 |   rAmaRIyaka->ramaRIya   |     -     |    L2   | 0.01276675082333821  |  0.4215066091879294  |
|  N408 |   pravizwaka->pravizwa   |     L2    |    L2   | 0.008769097560266816 |  0.1913813917834937  |
|  N391 |      prAsaka->prAsa      |     L2    |    L2   | 0.008931707818806396 | 0.23907622543443777  |
|  N246 |   OpADyAyaka->upADyAya   |     L2    |    L2   | 0.01276675082333821  |  0.4215066091879294  |
| N1619 |      nAwitaka->Ric       |     -     |    L2   | 0.008769097560266814 | 0.19138139178349364  |
| N1610 |      Cidraka->Cidra      |     -     |    L1   |  0.1719204713046855  | 0.026243535990249353 |
| N2872 |     AvaSyaka->avaSya     |     -     |    L2   | 0.012766750823338214 |  0.4215066091879294  |
| N2402 |       anDaka->anDa       |     -     |    L2   | 0.008769097560266814 | 0.19138139178349367  |
|  N694 |       OrRaka->UrRa       |     L2    |    L2   | 0.012390296942957964 | 0.44770564154543996  |
|  N549 |       BAraka->Bara       |     L1    |    L1   | 0.42970575859436905  | 0.030390179894028854 |
