+---	Results for Step 1 part 2	---+


Results as compiled on 20-08-2016 18:45


+-----------+-----+-----+
|   Detail  |  L1 |  L2 |
+-----------+-----+-----+
| Precision | 0.0 | 0.0 |
|   Recall  | 0.0 |  -  |
|  Accuracy |  => | 0.0 |
+-----------+-----+-----+

+-------+---------------------------+-----------+---------+----------------------+----------------------+
|  Node |          Mapping          | Goldlabel | Predict |    L1 confidence     |     L2confidence     |
+-------+---------------------------+-----------+---------+----------------------+----------------------+
|  N340 |        mUlin->mUla        |     -     |    L2   | 0.020504205319118646 | 0.35270676451506616  |
| N2313 |     patatrin->patatra     |     -     |    L2   | 0.020504205319118642 | 0.35270676451506616  |
| N2310 |       BfNgin->BfNga       |     -     |    L2   | 0.020504205319118642 | 0.35270676451506616  |
|  N274 |        GfRin->GfRa        |     L1    |    -    |          -           |          -           |
| N2146 |       proTin->proTa       |     -     |    L2   | 0.020504205319118646 | 0.35270676451506616  |
| N2269 |       rukmin->rukma       |     -     |    L2   | 0.020504205319118646 | 0.35270676451506616  |
| N2442 |      vilokin->viloka      |     L1    |    -    |          -           |          -           |
| N2440 |    vyAlambin->vyAlamba    |     L1    |    -    |          -           |          -           |
| N2445 |   vyaBicArin->vyaBicAra   |     -     |    L2   | 0.020504205319118642 | 0.35270676451506616  |
| N2043 |     avagAhin->avagAha     |     L1    |    -    |          -           |          -           |
| N2049 |      nicayin->nicaya      |     L1    |    -    |          -           |          -           |
| N2836 |     JarJarin->JarJara     |     -     |    L2   | 0.020504205319118646 | 0.35270676451506616  |
| N2685 |        kampin->kamp       |     -     |    L1   | 0.30361043300318535  | 0.04678528799179279  |
| N2686 |       kampin->kampa       |     L1    |    -    |          -           |          -           |
| N1655 |        Gawin->Gawa        |     -     |    L2   | 0.020504205319118646 | 0.35270676451506616  |
|  N98  |       caRqin->caRqa       |     L1    |    -    |          -           |          -           |
|  N90  |        kawin->kawa        |     L1    |    -    |          -           |          -           |
|  N97  |      sAhasin->sAhasa      |     -     |    L2   | 0.037348121723435594 |  0.3146035867437103  |
| N1625 |    aBinandin->aBinanda    |     L1    |    -    |          -           |          -           |
