+---	Results for Step 2 part 15	---+


Results as compiled on 09-08-2016 15:42


+-----------+--------------+---------------+
|   Detail  |      L1      |       L2      |
+-----------+--------------+---------------+
| Precision | 15.306122449 | 12.3233651002 |
|   Recall  |    100.0     |     100.0     |
|  Accuracy |      =>      |     100.0     |
+-----------+--------------+---------------+

+-------+---------------------------------+-----------+---------+-----------------------+-----------------------+
|  Node |             Mapping             | Goldlabel | Predict |     L1 confidence     |      L2confidence     |
+-------+---------------------------------+-----------+---------+-----------------------+-----------------------+
|  N344 |         Amanasya->amanas        |     L2    |    L2   |  0.021025369351052498 |   0.843666582609266   |
|  N345 |         Amanasya->Amanas        |     -     |    L2   |  0.07116255936979063  |   0.349255823179492   |
|  N346 |         kAruRya->karuRa         |     -     |    L2   |  0.06894511011699378  |  0.38757034727465534  |
|  N347 |         kAruRya->karuRA         |     -     |    L2   |  0.06904484834680395  |   0.3877412226292447  |
|  N340 |        sAvarRya->savarRa        |     L2    |    L2   |  0.060528139212992195 |   0.5687934993394484  |
|  N341 |        sAvarRya->sAvarRa        |     -     |    L2   |   0.077123028853227   |   0.4045309050618181  |
|  N342 |        sAvarRya->savarRA        |     -     |    L2   |  0.07681656945957221  |  0.43276772481823506  |
|  N343 |        sAvarRya->sAvarRi        |     -     |    L2   |  0.07688715767289483  |   0.4045740286521721  |
| N2918 |          pAlitya->pAli          |     -     |    L2   |  0.06673557835072369  |   0.3316280551814896  |
|  N348 |         kAruRya->karuRI         |     -     |    L2   |  0.06895734305557658  |  0.38790810797754716  |
|  N349 |          kAruRya->karuR         |     -     |    L2   |  0.06771245865897625  |   0.3835816334019722  |
| N3002 |       nEHsnehya->niHsnehA       |     -     |    L2   |  0.06983442620810336  |  0.39803748110232956  |
| N2919 |           sAmya->sAma           |     -     |    L1   |   0.4186863635391243  |   0.2685145418607741  |
| N1653 |         cEtanya->cetana         |     -     |    L2   |  0.07504355094914572  |   0.4237450648702885  |
| N2318 |           Bojya->BojA           |     -     |    L2   |  0.06906978216445506  |   0.2905850465248592  |
| N2319 |            Bojya->Boj           |     -     |    L2   |  0.07019854294524114  |  0.28295999790749127  |
| N2316 |          ESAnya->ISAnI          |     -     |    L2   |  0.06602385974356054  |   0.3786709505048971  |
| N2317 |           Bojya->Boja           |     -     |    L2   |  0.07576385634418711  |  0.36175238791041325  |
| N2314 |          ESAnya->ISAnA          |     -     |    L2   |  0.06605324253784216  |   0.3785978869950631  |
| N2315 |          ESAnya->ESAnI          |     -     |    L2   |  0.06791811391435258  |  0.33304695584813354  |
| N2312 |          ESAnya->ESAna          |     -     |    L2   |  0.07565609433409412  |   0.3897132494616962  |
| N2313 |          ESAnya->ISAna          |     -     |    L2   |  0.07560855067509194  |   0.4104593305497312  |
| N2310 |         akzoBya->akzoBa         |     -     |    L2   |  0.07728661460363254  |  0.35572755936493666  |
| N2311 |          ArzaBya->fzaBa         |     L2    |    L2   |  0.04577718981043623  |   0.6721520496587399  |
|  N298 |           vaSya->vaSI           |     -     |    L2   |  0.07448086342372355  |   0.3390857574722131  |
|  N299 |         mETunya->mETuna         |     -     |    L2   |  0.07378147702479826  |  0.37105763732588215  |
|  N296 |           vaSya->vaSa           |     -     |    L2   |  0.07447977392107245  |  0.33905614480961205  |
|  N297 |           vaSya->vaSA           |     -     |    L2   |  0.07454594331375086  |  0.33964264180142284  |
|  N294 |           vAdya->vAdI           |     -     |    L2   |  0.06632616319169746  |  0.33123484521795477  |
|  N295 |            vaSya->vaS           |     -     |    L1   |   0.586989338003092   |   0.1887394215209148  |
|  N292 |           vAdya->vAdi           |     -     |    L2   |  0.06700690362153373  |   0.3437060375622703  |
|  N293 |           vAdya->vadi           |     -     |    L2   |  0.07427139602974164  |   0.4282543955559706  |
|  N290 |           vAdya->vAda           |     -     |    L2   |  0.07542675169632568  |  0.39940413558778354  |
|  N291 |           vAdya->vada           |     -     |    L2   |  0.07450534044689733  |   0.4281316080128265  |
| N2147 |        prAmodya->pramodA        |     -     |    L2   |  0.07573471231299114  |   0.4356772563710551  |
|  N270 |            cOrya->cUr           |     -     |    L2   |  0.06832252985277673  |  0.38903243133303633  |
|  N271 |        sPAwikya->sPAwika        |     -     |    L2   |   0.0767194448508823  |   0.4027026800528794  |
|  N272 |        sPAwikya->sPawika        |     -     |    L2   |  0.07728017433739315  |  0.44475193152829123  |
|  N273 |        sPAwikya->sPawikA        |     -     |    L2   |  0.07733859105165113  |   0.4446178808632819  |
|  N274 |        sPAwikya->sPAwikI        |     -     |    L2   |  0.07220461389877095  |   0.3617963807059078  |
|  N275 |         DArzwya->DArzwa         |     -     |    L2   |  0.07590763267235029  |  0.40045684996530734  |
|  N276 |        avaDArya->avaDAra        |     -     |    L2   |  0.07409281367829974  |   0.3084088127866771  |
|  N277 |            Ayya->Aya            |     -     |    L2   |  0.06995105085339853  |   0.3444057974823205  |
|  N278 |            Ayya->aya            |     -     |    L2   |  0.06791903138275261  |   0.3811628074142491  |
|  N279 |            Ayya->AyA            |     -     |    L2   |  0.06571659460847017  |   0.3251474015971532  |
| N1780 |          anAdya->anAda          |     -     |    L2   |  0.07711783590116364  |  0.37083724198235785  |
| N2146 |        prAmodya->pramoda        |     -     |    L2   |  0.07567621761768947  |  0.43563433042119665  |
