+---	Results for Step 2 part 29	---+


Results as compiled on 22-08-2016 23:34


+-----------+------+--------+
|   Detail  |  L1  |   L2   |
+-----------+------+--------+
| Precision | 75.0 | 61.111 |
|   Recall  | 30.0 | 91.666 |
|  Accuracy |  =>  | 63.636 |
+-----------+------+--------+

+-------+------------------------------------------+-----------+---------+---------------+--------------+
|  Node |                 Mapping                  | Goldlabel | Predict | L1 confidence | L2confidence |
+-------+------------------------------------------+-----------+---------+---------------+--------------+
|  N344 |            visarpaka->visarpa            |     -     |    L2   |      0.01     |    0.012     |
|  N345 |           apAmArgaka->apAmArga           |     -     |    L2   |      0.01     |    0.012     |
|  N346 |               deSaka->deSa               |     -     |    L2   |      0.01     |    0.012     |
|  N347 |              ABIraka->ABIra              |     -     |    L2   |     0.012     |    0.012     |
|  N340 |              pAdyaka->pAdya              |     -     |    L2   |     0.012     |    0.012     |
|  N341 |              pAdyaka->padya              |     -     |    L1   |     0.017     |    0.014     |
|  N342 |        latAvezwitaka->latAvezwita        |     -     |    L2   |      0.01     |    0.012     |
|  N343 |           saMkalpaka->saMkalpa           |     -     |    L2   |      0.01     |    0.012     |
| N2918 |           upamardaka->upamarda           |     -     |    L2   |     0.008     |    0.009     |
|  N348 |              ABIraka->aBIra              |     -     |    L1   |     0.018     |    0.014     |
|  N349 |             kzudraka->kzudra             |     -     |    L2   |      0.01     |     0.01     |
| N3002 |        rIWAkaraYjaka->rIWAkaraYja        |     -     |    L2   |      0.01     |    0.012     |
| N2919 |             sunIlaka->sunIla             |     -     |    L2   |     0.008     |    0.009     |
| N1653 |              joNgaka->joNga              |     -     |    L2   |     0.009     |     0.01     |
| N2318 |             Cattraka->Cattra             |     -     |    L1   |     0.012     |    0.012     |
| N2319 |        raktavartmaka->raktavartma        |     -     |    L2   |      0.01     |    0.011     |
| N2316 |             kaWoraka->kaWora             |     -     |    L2   |     0.008     |    0.009     |
| N2317 |             tIkzRaka->tIkzRa             |     -     |    L2   |     0.009     |    0.011     |
| N2314 |           maRipUraka->maRipUra           |     -     |    L2   |      0.01     |    0.012     |
| N2315 |             aDyAyaka->aDyAya             |     -     |    L2   |     0.008     |    0.009     |
| N2312 |            SlAGanaka->SlAGana            |     -     |    L2   |     0.012     |    0.012     |
| N2313 |             devalaka->devala             |     -     |    L2   |      0.01     |    0.012     |
| N2310 |            samAMSaka->samAMSa            |     -     |    L2   |      0.01     |    0.012     |
| N2311 |        karRABaraRaka->karRABaraRa        |     -     |    L2   |      0.01     |    0.012     |
|  N298 |       pAtanAyantraka->pAtanAyantra       |     -     |    L2   |     0.012     |    0.012     |
|  N299 |            vizkiraka->vizkira            |     -     |    L2   |     0.009     |    0.011     |
|  N296 |            ambikeyaka->ambikA            |     L2    |    L2   |     0.011     |    0.012     |
|  N297 |              vindaka->vinda              |     -     |    L2   |      0.01     |    0.012     |
|  N294 |           pradarSaka->pradarSa           |     -     |    L2   |     0.011     |    0.012     |
|  N295 |              sihlaka->sihla              |     -     |    L2   |      0.01     |    0.012     |
|  N292 |       SAlmalIvezwaka->SAlmalIvezwa       |     -     |    L2   |     0.012     |    0.012     |
|  N293 |            picciwaka->picciwa            |     -     |    L2   |      0.01     |    0.012     |
|  N290 |            suganDaka->suganDa            |     -     |    L2   |     0.011     |    0.012     |
|  N291 |           somarogaka->somaroga           |     -     |    L2   |      0.01     |    0.012     |
| N2147 |           pravfttaka->pravftta           |     -     |    L2   |     0.011     |    0.012     |
|  N270 |          tElaparRaka->tIlaparRa          |     -     |    L1   |     0.018     |    0.014     |
|  N271 |             pawolaka->pawola             |     -     |    L2   |      0.01     |    0.012     |
|  N272 |              cezwaka->cezwa              |     -     |    L2   |      0.01     |    0.012     |
|  N273 |               dehaka->deha               |     -     |    L2   |      0.01     |    0.012     |
|  N274 |           atiganDaka->atiganDa           |     -     |    L2   |      0.01     |    0.012     |
|  N275 |            avaSezaka->avaSeza            |     -     |    L2   |      0.01     |    0.012     |
|  N276 |            hiNgulaka->hiNgula            |     -     |    L2   |      0.01     |    0.012     |
|  N277 |         mftkarpawaka->mftkarpawa         |     -     |    L2   |      0.01     |    0.012     |
|  N278 |             sutAlaka->sutAla             |     -     |    L2   |      0.01     |    0.012     |
|  N279 |           ramaRIyaka->ramaRIya           |     -     |    L2   |     0.011     |    0.012     |
| N1780 |           aSvamAraka->aSvamAra           |     -     |    L2   |      0.01     |    0.012     |
