+---	Results for Step 2 part 2	---+


Results as compiled on 22-08-2016 23:28


+-----------+-----+--------+
|   Detail  |  L1 |   L2   |
+-----------+-----+--------+
| Precision | 0.0 | 100.0  |
|   Recall  |  -  | 16.363 |
|  Accuracy |  => | 16.363 |
+-----------+-----+--------+

+-------+-----------------------------------+-----------+---------+---------------+--------------+
|  Node |              Mapping              | Goldlabel | Predict | L1 confidence | L2confidence |
+-------+-----------------------------------+-----------+---------+---------------+--------------+
|  N344 |           kalkin->kalka           |     -     |    -    |       -       |      -       |
|  N345 |           kalkin->kalki           |     -     |    -    |       -       |      -       |
|  N346 |      vidyunmAlin->vidyunmAla      |     -     |    -    |       -       |      -       |
|  N347 |      vidyunmAlin->vidyunmAlA      |     -     |    -    |       -       |      -       |
|  N340 |            mUlin->mUla            |     -     |    L2   |      0.02     |    0.743     |
|  N341 |            mUlin->mUlA            |     -     |    L1   |     0.078     |    0.027     |
|  N342 |            mUlin->mUlI            |     -     |    L1   |     0.078     |    0.028     |
|  N343 |      mayUKamAlin->mayUKamAlA      |     -     |    -    |       -       |      -       |
|  N348 |      vidyunmAlin->vidyunmAlI      |     -     |    -    |       -       |      -       |
|  N349 |        prasaNgin->prasaNga        |     -     |    -    |       -       |      -       |
| N1653 |          kzatrin->kzatra          |     -     |    L2   |     0.049     |    0.084     |
| N2318 |            jayin->jayI            |     -     |    L1   |     0.076     |    0.044     |
| N2319 |            DArin->DAra            |     -     |    L2   |     0.054     |     0.07     |
| N2316 |            jayin->jaya            |     -     |    L2   |     0.038     |    0.086     |
| N2317 |            jayin->jayA            |     -     |    L1   |     0.076     |    0.044     |
| N2314 |         patatrin->patatri         |     -     |    L1   |     0.076     |    0.046     |
| N2315 |         patatrin->patatrI         |     -     |    L1   |     0.076     |    0.046     |
| N2312 |           BfNgin->BfNgI           |     -     |    L1   |     0.078     |    0.026     |
| N2313 |         patatrin->patatra         |     -     |    L2   |     0.041     |    0.085     |
| N2310 |           BfNgin->BfNga           |     -     |    L2   |     0.039     |    0.086     |
| N2311 |           BfNgin->BfNgi           |     -     |    L1   |     0.078     |    0.026     |
|  N298 |          ucCedin->ucCeda          |     -     |    -    |       -       |      -       |
|  N299 |        pravrAjin->pravrAja        |     -     |    -    |       -       |      -       |
|  N296 |        anukANkzin->anukANkz       |     -     |    -    |       -       |      -       |
|  N297 |          aputrin->aputra          |     -     |    -    |       -       |      -       |
|  N294 |        bahurUpin->bahurUpI        |     -     |    -    |       -       |      -       |
|  N295 |       anukANkzin->anukANkzA       |     -     |    -    |       -       |      -       |
|  N292 |        bahurUpin->bahurUpa        |     -     |    -    |       -       |      -       |
|  N293 |        bahurUpin->bahurUpA        |     -     |    -    |       -       |      -       |
|  N290 |         aDivAsin->aDivAsI         |     -     |    -    |       -       |      -       |
|  N291 |          aDivAsin->aDivAs         |     -     |    -    |       -       |      -       |
| N2147 |             alin->ala             |     -     |    L2   |     0.026     |    0.085     |
|  N270 |           nandin->nandI           |     -     |    -    |       -       |      -       |
|  N271 |            nandin->nand           |     -     |    -    |       -       |      -       |
|  N272 |          anvayin->anvaya          |     -     |    -    |       -       |      -       |
|  N273 |           AgAmin->AgAmi           |     -     |    L1   |     0.078     |    0.027     |
|  N275 |            GfRin->GfRA            |     -     |    -    |       -       |      -       |
|  N276 |            GfRin->GfRi            |     -     |    -    |       -       |      -       |
|  N277 |             GfRin->GfR            |     -     |    -    |       -       |      -       |
|  N278 |        saMsfzwin->saMsfzwa        |     -     |    -    |       -       |      -       |
|  N279 |        saMsfzwin->saMsfzwi        |     -     |    -    |       -       |      -       |
| N1780 |          sahAyin->sahAya          |     -     |    L2   |     0.046     |    0.084     |
| N2146 |           proTin->proTa           |     -     |    L2   |     0.026     |    0.085     |
| N2268 |       parisarpin->parisarpa       |     -     |    L2   |     0.053     |    0.083     |
| N2269 |           rukmin->rukma           |     -     |    L2   |     0.052     |    0.083     |
| N2262 |           Suklin->SuklI           |     -     |    L1   |     0.078     |     0.03     |
| N2263 |       daRqaDArin->daRqaDAra       |     -     |    L2   |     0.052     |    0.082     |
| N2260 |           Suklin->Sukla           |     -     |    L2   |      0.05     |    0.083     |
| N2261 |           Suklin->SuklA           |     -     |    L1   |     0.078     |    0.031     |
| N2266 |            gADin->gADi            |     -     |    L1   |     0.077     |    0.028     |
| N2267 |             gADin->gAD            |     -     |    L1   |     0.078     |    0.027     |
| N2264 |       daRqaDArin->daRqaDArI       |     -     |    L1   |     0.073     |    0.059     |
| N2265 |            gADin->gADa            |     -     |    L2   |     0.059     |    0.074     |
| N2442 |          vilokin->viloka          |     L1    |    L2   |     0.073     |    0.081     |
| N2443 |           vilokin->vilok          |     -     |    L1   |     0.078     |    0.027     |
| N2440 |        vyAlambin->vyAlamba        |     L1    |    L2   |     0.073     |    0.081     |
| N2441 |         vyAlambin->vyAlamb        |     -     |    L1   |     0.077     |    0.043     |
| N1781 |          sahAyin->sahAyI          |     -     |    L1   |     0.076     |    0.047     |
| N2447 |       vyaBicArin->vyaBicArI       |     -     |    L1   |     0.074     |    0.054     |
| N2444 |    anekAntavAdin->anekAntavAda    |     -     |    L2   |      0.04     |    0.083     |
| N2445 |       vyaBicArin->vyaBicAra       |     -     |    L2   |     0.041     |    0.084     |
| N2448 |        tridaRqin->tridaRqa        |     -     |    L2   |     0.046     |    0.084     |
| N2449 |        tridaRqin->tridaRqI        |     -     |    L1   |     0.074     |    0.054     |
| N2189 |          viroDin->viroDi          |     -     |    L1   |     0.077     |    0.037     |
|  N108 |          kavalin->kavalI          |     -     |    -    |       -       |      -       |
|  N109 |           kavalin->kaval          |     -     |    -    |       -       |      -       |
|  N102 |        parilehin->parilehI        |     -     |    -    |       -       |      -       |
|  N103 |       aBikANkzin->aBikANkzA       |     -     |    -    |       -       |      -       |
|  N100 |           caRqin->caRqi           |     -     |    -    |       -       |      -       |
|  N101 |           caRqin->caRqI           |     -     |    -    |       -       |      -       |
