+---	Nodes in Step 3	---+

+-------+------+-------+-------+--------+------------+-----------+--------------+
| Part# | +--  | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique |
+-------+------+-------+-------+--------+------------+-----------+--------------+
|       |  L1  |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |
|   1   |  7   |   12  |   16  |   0    |     3      |     3     |      16      |
|   2   | 2149 |  2163 |  2317 |   92   |     18     |    110    |     2317     |
|   3   | 138  |   90  |  153  |   52   |     4      |     56    |     153      |
|   4   |  18  |   11  |   26  |   8    |     1      |     9     |      26      |
|   6   | 281  |  298  |  302  |   0    |     5      |     5     |     302      |
|   7   | 217  |  130  |  231  |   90   |     3      |     93    |     231      |
|   8   | 605  |  614  |  628  |   4    |     6      |     10    |     628      |
|   9   | 516  |  523  |  583  |   11   |     12     |     23    |     583      |
|   11  | 275  |  299  |  308  |   2    |     6      |     8     |     308      |
|   13  |  16  |   70  |   71  |   0    |     11     |     11    |      71      |
|   14  |  23  |   28  |   31  |   0    |     4      |     4     |      34      |
|   15  | 2666 |  3043 |  3141 |   15   |    375     |    390    |     3141     |
|   16  |  62  |   70  |   71  |   0    |     2      |     2     |      71      |
|   17  | 198  |  179  |  209  |   21   |     2      |     23    |     209      |
|   19  | 342  |  342  |  371  |   5    |     5      |     10    |     371      |
|   20  | 400  |  850  |  889  |   6    |    450     |    456    |     889      |
|   21  |  48  |   49  |   58  |   2    |     2      |     4     |      58      |
|   23  | 3008 |  2909 |  3077 |  192   |     17     |    209    |     3149     |
|   25  |  54  |   81  |   82  |   0    |     6      |     6     |      82      |
|   26  | 2519 |  2467 |  2583 |   60   |     8      |     68    |     2583     |
|   27  |  34  |   40  |   42  |   0    |     2      |     2     |      42      |
|   28  |  29  |   28  |   43  |   4    |     3      |     7     |      43      |
|   29  | 3113 |  3159 |  3181 |   4    |     18     |     22    |     3181     |
|   30  | 146  |  155  |  170  |   3    |     5      |     8     |     170      |
+-------+------+-------+-------+--------+------------+-----------+--------------+
