+---	Results for Step 3 part 15	---+


Results as compiled on 20-08-2016 18:46


+-----------+--------------+---------------+
|   Detail  |      L1      |       L2      |
+-----------+--------------+---------------+
| Precision | 15.306122449 | 12.3233651002 |
|   Recall  |    100.0     |     100.0     |
|  Accuracy |      =>      |     100.0     |
+-----------+--------------+---------------+

+-------+---------------------------------+-----------+---------+-----------------------+----------------------+
|  Node |             Mapping             | Goldlabel | Predict |     L1 confidence     |     L2confidence     |
+-------+---------------------------------+-----------+---------+-----------------------+----------------------+
|  N344 |         Amanasya->amanas        |     L2    |    L2   |  0.022519048708869813 |  0.8547790778005726  |
|  N345 |         Amanasya->Amanas        |     -     |    L2   |  0.07516962177496443  | 0.37443998092727493  |
|  N346 |         kAruRya->karuRa         |     -     |    L2   |   0.0724700360242864  | 0.40033254744657026  |
|  N347 |         kAruRya->karuRA         |     -     |    L2   |  0.07265497213265823  |  0.4007210152923496  |
|  N340 |        sAvarRya->savarRa        |     L2    |    L2   |  0.06496039764590326  |  0.6021931095980877  |
|  N341 |        sAvarRya->sAvarRa        |     -     |    L2   |   0.0838175256655194  | 0.45589068350579715  |
|  N342 |        sAvarRya->savarRA        |     -     |    L2   |  0.08418823937042681  | 0.47548409909168565  |
|  N343 |        sAvarRya->sAvarRi        |     -     |    L2   |  0.08366707938799643  | 0.45600904309653134  |
| N2918 |          pAlitya->pAli          |     -     |    L2   |  0.06788572871492307  | 0.33838030359470006  |
|  N348 |         kAruRya->karuRI         |     -     |    L2   |  0.07250664555833772  |  0.4011109889351113  |
|  N349 |          kAruRya->karuR         |     -     |    L2   |  0.07149333977882899  |  0.3975825977029732  |
| N3002 |       nEHsnehya->niHsnehA       |     -     |    L2   |  0.07435339408498848  |  0.4199406873944084  |
| N2919 |           sAmya->sAma           |     -     |    L1   |  0.42252692768956845  |  0.2967426784637736  |
| N1653 |         cEtanya->cetana         |     -     |    L2   |  0.08240199102337115  | 0.46507053704791185  |
| N2318 |           Bojya->BojA           |     -     |    L2   |  0.06923555756993481  | 0.29664110620175305  |
