+---	Results for Step 3 part 23	---+


Results as compiled on 16-04-2017 04:50


+-----------+--------+--------+
|   Detail  |   L1   |   L2   |
+-----------+--------+--------+
| Precision | 100.0  |  0.0   |
|   Recall  | 85.148 |   -    |
|  Accuracy |   =>   | 85.148 |
+-----------+--------+--------+

+------+-------------------------+-----------+---------+---------------+--------------+
| Node |         Mapping         | Goldlabel | Predict | L1 confidence | L2confidence |
+------+-------------------------+-----------+---------+---------------+--------------+
| N217 |        lABa->lABa       |     -     |    L1   |     0.918     |    0.064     |
| N215 |        vana->van        |     -     |    L1   |     0.951     |    0.033     |
| N212 |      BraMSa->BraMS      |     L1    |    -    |       -       |      -       |
| N213 |        SAKa->SAK        |     -     |    L1   |     0.985     |    0.002     |
| N210 |        yAja->yaj        |     L1    |    L1   |     0.515     |    0.414     |
| N211 |       svana->svan       |     L1    |    L1   |     0.822     |    0.089     |
| N264 |       graha->grah       |     L1    |    L1   |     0.724     |    0.205     |
| N218 |        lABa->laB        |     L1    |    L1   |     0.513     |    0.413     |
| N219 |        rAma->ram        |     -     |    L1   |      0.97     |    0.014     |
| N132 |   prAveSana->praveSana  |     -     |    L2   |     0.126     |    0.855     |
| N131 |       svAna->svan       |     L1    |    L1   |     0.498     |    0.418     |
| N130 |     dvEraTa->dviraTa    |     -     |    L2   |     0.109     |    0.873     |
| N137 |  OttAnapAda->uttAnapAda |     L2    |    L1   |     0.512     |    0.411     |
| N136 |      sOhfda->suhfd      |     L2    |    L1   |     0.476     |    0.445     |
| N135 |       prAsa->pras       |     -     |    L1   |     0.971     |    0.013     |
| N134 |        sama->sam        |     L1    |    L1   |     0.809     |    0.104     |
| N139 |        nEja->nij        |     -     |    L1   |     0.984     |    0.002     |
| N138 |        vama->vam        |     L1    |    L1   |     0.764     |    0.159     |
| N166 |         pra->prA        |     L1    |    L1   |     0.827     |    0.084     |
| N24  |        seva->sev        |     L1    |    -    |       -       |      -       |
| N25  |      dArzada->dfzad     |     -     |    L2   |     0.093     |    0.889     |
| N27  |         sma->smi        |     L1    |    -    |       -       |      -       |
| N20  |       dArBa->darBa      |     L2    |    L1   |     0.503     |    0.429     |
| N21  |        caRa->caR        |     L1    |    -    |       -       |      -       |
| N23  |      sPUrja->sPUrj      |     L1    |    -    |       -       |      -       |
| N160 |       sArva->sarv       |     -     |    L1   |     0.898     |    0.083     |
| N29  |        Kaja->Kaj        |     L1    |    -    |       -       |      -       |
| N161 |        rAga->rag        |     -     |    L1   |     0.907     |    0.075     |
| N288 |        cAra->car        |     L1    |    L1   |     0.503     |    0.418     |
|  N4  |        SAlva->SAl       |     L2    |    -    |       -       |      -       |
| N281 |        Anta->anta       |     L2    |    L1   |     0.508     |    0.419     |
|  N8  |        vAma->vam        |     L1    |    L1   |     0.517     |    0.409     |
| N283 |        pOra->pUr        |     -     |    L1   |     0.974     |    0.012     |
| N163 |   dOhitrAyaRa->dOhitra  |     -     |    L2   |     0.114     |    0.867     |
| N285 |       DmAkAra->DmA      |     -     |    L2   |     0.001     |    0.985     |
| N287 |   sAptapada->saptapada  |     -     |    L2   |     0.037     |    0.947     |
| N286 |        SaSa->SaS        |     L1    |    L1   |     0.762     |    0.161     |
| N271 |        SOca->Suc        |     L1    |    L1   |     0.482     |    0.431     |
| N120 |        nESa->niS        |     -     |    L1   |     0.981     |    0.006     |
| N121 |        saha->sah        |     L1    |    L1   |      0.81     |    0.103     |
| N122 |       garva->garva      |     L1    |    -    |       -       |      -       |
| N124 |        siva->siv        |     L1    |    -    |       -       |      -       |
| N125 |        GuRa->GuR        |     L1    |    -    |       -       |      -       |
| N126 |      dOhfda->durhfd     |     -     |    L2   |     0.017     |    0.969     |
| N127 |        vARa->vaR        |     -     |    L1   |     0.943     |     0.04     |
| N128 |        Kana->Kan        |     -     |    L1   |     0.947     |    0.037     |
| N129 |        mana->man        |     L1    |    L1   |     0.779     |    0.141     |
| N269 |       kleSa->kleS       |     L1    |    -    |       -       |      -       |
| N167 |         pra->prI        |     -     |    L1   |     0.979     |    0.007     |
| N118 |    nAkzatra->nakzatra   |     -     |    L2   |      0.11     |    0.872     |
| N58  |        kAma->kam        |     -     |    L1   |     0.926     |    0.057     |
| N56  |     drAviqa->draviqa    |     L2    |    L1   |     0.504     |    0.418     |
| N51  |        cOra->cur        |     -     |    L1   |     0.971     |    0.015     |
| N50  |        SEva->Sev        |     -     |    L1   |     0.984     |    0.002     |
| N259 |        GAsa->Gas        |     -     |    L2   |     0.106     |    0.876     |
| N312 |        nata->nat        |     L1    |    -    |       -       |      -       |
| N299 |        rama->ram        |     -     |    L1   |     0.957     |    0.028     |
| N296 |         Sra->SrA        |     L1    |    L1   |     0.831     |    0.079     |
| N295 |        yasa->yas        |     -     |    L1   |     0.897     |    0.084     |
| N292 |        kaRa->kaR        |     -     |    L1   |     0.941     |    0.043     |
| N293 |        naSa->naS        |     L1    |    L1   |      0.77     |    0.151     |
| N290 |       Sulba->Sulb       |     L1    |    -    |       -       |      -       |
| N291 |        SApa->Sap        |     -     |    L1   |     0.919     |    0.064     |
| N201 |        SAna->SAn        |     L1    |    L1   |     0.657     |    0.258     |
| N319 |        dEna->dina       |     -     |    L2   |     0.095     |    0.888     |
| N318 |        yAsa->yas        |     -     |    L1   |     0.898     |    0.083     |
| N199 |        rAja->rAj        |     L1    |    L1   |     0.656     |    0.258     |
| N179 |        Sama->Sam        |     -     |    L1   |     0.927     |    0.056     |
| N200 |       dAsera->dAsI      |     -     |    L2   |     0.031     |    0.955     |
| N195 |      Brasja->Brasj      |     L1    |    -    |       -       |      -       |
| N194 |     prAdoza->pradoza    |     -     |    L2   |     0.101     |    0.881     |
| N197 |        jIva->jIv        |     L1    |    L1   |      0.84     |    0.068     |
| N178 |        paWa->paW        |     -     |    L1   |     0.925     |    0.057     |
| N191 |      SAkuna->Sakuna     |     -     |    L2   |     0.096     |    0.886     |
| N190 |         Una->Una        |     -     |    L1   |     0.919     |    0.064     |
| N192 |       Samba->Samb       |     -     |    L1   |     0.938     |    0.045     |
| N115 |        kASa->kaS        |     L1    |    L1   |     0.503     |    0.418     |
| N114 |        kASa->kAS        |     L1    |    L1   |     0.658     |    0.254     |
| N88  |        vAha->vAh        |     -     |    L1   |     0.984     |    0.003     |
| N89  |        vAha->vah        |     -     |    L1   |     0.929     |    0.054     |
| N111 |    dASaraTa->daSaraTa   |     -     |    L2   |     0.088     |    0.895     |
| N110 |        Suca->Suc        |     L1    |    L1   |     0.838     |    0.071     |
| N113 |     dOrhfda->durhfd     |     L2    |    L1   |     0.471     |    0.447     |
| N112 |        vAwa->vAwa       |     -     |    L1   |     0.928     |    0.055     |
| N82  |      dArada->darad      |     -     |    L2   |     0.104     |    0.878     |
| N83  |        SARa->SaR        |     L1    |    L1   |     0.505     |    0.418     |
| N80  |        vAta->vata       |     L1    |    L1   |     0.496     |    0.432     |
| N81  |     OdgAtra->udgAtf     |     -     |    L2   |     0.004     |    0.982     |
| N86  |    bAdarAyaRa->badarl   |     -     |    L2   |     0.097     |    0.885     |
