+---	Results for Step 3 part 26	---+


Results as compiled on 16-04-2017 04:50


+-----------+--------+--------+
|   Detail  |   L1   |   L2   |
+-----------+--------+--------+
| Precision | 98.245 | 38.235 |
|   Recall  | 72.727 | 92.857 |
|  Accuracy |   =>   | 75.824 |
+-----------+--------+--------+

+------+-----------------------------+-----------+---------+---------------+--------------+
| Node |           Mapping           | Goldlabel | Predict | L1 confidence | L2confidence |
+------+-----------------------------+-----------+---------+---------------+--------------+
| N133 |          patti->pad         |     L2    |    L1   |     0.616     |    0.287     |
| N132 |        vAruRi->varuRa       |     L2    |    L2   |     0.377     |    0.473     |
| N137 |          pAli->pAl          |     L1    |    L1   |      0.63     |    0.259     |
| N136 |          SAKi->SAK          |     L1    |    L1   |      0.63     |    0.259     |
| N135 |          gupi->gup          |     -     |    L1   |     0.985     |    0.002     |
| N134 |         dOlmi->dulma        |     L2    |    L2   |     0.354     |    0.485     |
| N139 |          vapi->vap          |     L1    |    L1   |     0.623     |    0.277     |
| N24  |       sOmitri->sumitrA      |     -     |    L2   |     0.037     |    0.948     |
| N25  |          sAti->sat          |     -     |    L1   |     0.936     |    0.044     |
| N27  |           smi->smi          |     -     |    L1   |     0.977     |    0.008     |
| N20  |          aBri->aBr          |     -     |    L1   |     0.939     |    0.042     |
| N21  |          vAsi->vAsa         |     L1    |    L1   |     0.556     |    0.335     |
| N22  |          vAsi->vasa         |     L1    |    L2   |     0.411     |    0.449     |
| N23  |          vAsi->vas          |     -     |    L1   |     0.935     |    0.045     |
| N160 |          rapi->rap          |     -     |    L1   |     0.951     |     0.03     |
| N28  |          raBi->raB          |     L1    |    L1   |     0.616     |    0.286     |
| N29  |          sahi->sah          |     L1    |    L1   |     0.623     |     0.28     |
| N161 |          pARi->paRa         |     -     |    L1   |     0.946     |    0.035     |
|  N4  |          vasi->vas          |     -     |    L1   |     0.934     |    0.046     |
|  N8  |       padmaki->padmaka      |     -     |    L2   |     0.088     |    0.891     |
| N163 |        pakzati->pakza       |     L2    |    L1   |     0.609     |    0.296     |
| N119 |          Sami->Sam          |     -     |    L1   |     0.924     |    0.055     |
| N121 |          Suni->Sun          |     L1    |    L1   |     0.626     |    0.259     |
| N122 |          hili->hil          |     -     |    L1   |     0.984     |    0.003     |
| N123 |       ADiraTi->aDiraTa      |     L2    |    L2   |     0.402     |    0.458     |
| N125 |         syami->syam         |     -     |    L1   |     0.934     |    0.046     |
| N126 |          jAti->jAti         |     -     |    L2   |     0.002     |    0.984     |
| N127 |          tati->tat          |     -     |    L2   |     0.086     |    0.894     |
| N128 |          pAci->pac          |     L1    |    L1   |     0.621     |     0.28     |
| N167 |         grahi->grah         |     -     |    L1   |     0.933     |    0.047     |
| N59  |          pUri->pUr          |     -     |    L1   |     0.981     |    0.004     |
| N58  |         Ayati->qati         |     L2    |    L1   |     0.623     |    0.276     |
| N55  |    bArhadraTi->bfhadraTa    |     -     |    L2   |     0.065     |    0.916     |
| N54  |         BaNgi->BaNgi        |     -     |    L2   |     0.052     |     0.93     |
| N57  |          jani->jan          |     L1    |    L1   |     0.624     |    0.274     |
| N51  |          mOli->mUl          |     L1    |    L1   |      0.63     |    0.258     |
| N50  |         pyAyi->pyAy         |     -     |    L1   |     0.985     |    0.001     |
| N53  |         Brami->Bram         |     -     |    L1   |     0.955     |    0.027     |
| N52  |          vati->vata         |     -     |    L1   |     0.963     |     0.02     |
| N164 |        unnati->unnati       |     L2    |    L1   |     0.619     |     0.28     |
| N201 |          kaSi->kaS          |     L1    |    L1   |     0.624     |    0.276     |
| N199 |     sAndIpani->sandIpana    |     L2    |    L2   |     0.409     |    0.453     |
| N179 |          jasi->jas          |     -     |    L1   |     0.915     |    0.062     |
| N200 |          nati->nat          |     L1    |    L1   |      0.62     |    0.279     |
| N195 |          bali->bal          |     L1    |    L1   |      0.63     |    0.263     |
| N194 |         vitasti->tas        |     L2    |    L1   |     0.624     |    0.276     |
| N178 |         vfzwi->vfzwi        |     L2    |    L1   |      0.63     |    0.259     |
| N191 |          jAsi->jas          |     -     |    L1   |     0.915     |    0.062     |
| N193 |        Bastri->Bastra       |     -     |    L2   |     0.093     |    0.886     |
| N192 |         malli->mall         |     -     |    L1   |     0.932     |    0.048     |
| N115 |          pAri->pAra         |     L1    |    L1   |     0.547     |    0.339     |
| N114 |          Saki->Sak          |     -     |    L1   |     0.953     |    0.029     |
| N88  |        BrAnti->BrAnti       |     -     |    L2   |     0.012     |    0.974     |
| N202 |          Siti->Sit          |     L1    |    L1   |     0.629     |    0.259     |
| N111 |        marIci->marIci       |     -     |    L2   |     0.075     |    0.906     |
| N110 |    pratibanDi->pratibanD    |     L2    |    L1   |     0.622     |    0.275     |
| N113 |          vali->vali         |     -     |    L2   |     0.088     |    0.891     |
| N112 |          sani->san          |     -     |    L1   |     0.935     |    0.044     |
| N82  |          Suci->Suc          |     L1    |    L1   |     0.629     |    0.258     |
