+---	Results for Step 3 part 2	---+


Results as compiled on 20-08-2016 18:46


+-----------+---------------+----------------+
|   Detail  |       L1      |       L2       |
+-----------+---------------+----------------+
| Precision | 22.2222222222 | 0.945874934314 |
|   Recall  |     100.0     |     100.0      |
|  Accuracy |       =>      |     100.0      |
+-----------+---------------+----------------+

+-------+-----------------------------------+-----------+---------+-----------------------+-----------------------+
|  Node |              Mapping              | Goldlabel | Predict |     L1 confidence     |      L2confidence     |
+-------+-----------------------------------+-----------+---------+-----------------------+-----------------------+
|  N340 |            mUlin->mUla            |     -     |    L2   |  0.036389060973658044 |   0.7890448678864211  |
|  N341 |            mUlin->mUlA            |     -     |    L1   |  0.07924730830618039  |  0.06657295923943292  |
|  N342 |            mUlin->mUlI            |     -     |    L1   |  0.08115813555818507  |   0.0745374201450423  |
| N1653 |          kzatrin->kzatra          |     -     |    L2   |  0.08856245974983719  |  0.22541508337535776  |
| N2318 |            jayin->jayI            |     -     |    L2   |  0.09236259677914575  |  0.14233389115731387  |
| N2319 |            DArin->DAra            |     -     |    L2   |  0.07952185263077359  |  0.19116204730595845  |
| N2316 |            jayin->jaya            |     -     |    L2   |  0.06519781208054276  |  0.21968288405621295  |
| N2317 |            jayin->jayA            |     -     |    L2   |  0.09248068344631852  |  0.14307765104649467  |
| N2314 |         patatrin->patatri         |     -     |    L2   |  0.09452685891651673  |  0.14921045347519904  |
| N2315 |         patatrin->patatrI         |     -     |    L2   |  0.09441948648957094  |  0.14903536147332871  |
| N2312 |           BfNgin->BfNgI           |     -     |    L1   |   0.0778931876334782  |  0.062059688639461735 |
| N2313 |         patatrin->patatra         |     -     |    L2   |  0.04292247301662138  |   0.7497270192804869  |
| N2310 |           BfNgin->BfNga           |     -     |    L2   |  0.03848580082217487  |   0.7754371157817055  |
| N2311 |           BfNgin->BfNgi           |     -     |    L1   |  0.07815975883953037  |  0.06301855122691438  |
| N2147 |             alin->ala             |     -     |    L2   |  0.029870192316050037 |  0.22014793453917747  |
|  N273 |           AgAmin->AgAmi           |     -     |    L1   |  0.07961491513469025  |  0.07090159822719097  |
| N1780 |          sahAyin->sahAya          |     -     |    L2   |  0.08144514778406255  |  0.22047555375584632  |
