+---	Nodes in Step 2	---+

+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
| Part# | +--  | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique | Nodes in |
+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
|       |  L1  |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |  Graph   |
|       |      |       |       |        |            |           |              |          |
|   1   |  7   |   7   |   12  |   0    |     3      |     3     |      15      |    16    |
|   2   | 2480 |  2583 |  2660 |   92   |     18     |    110    |     2770     |   2388   |
|   3   |  85  |   85  |   96  |   52   |     4      |     56    |     152      |   153    |
|   4   |  8   |   10  |   15  |   8    |     1      |     9     |      24      |    26    |
|   6   | 280  |  292  |  296  |   0    |     5      |     5     |     301      |   302    |
|   7   | 126  |  127  |  138  |   90   |     3      |     93    |     231      |   231    |
|   8   | 600  |  607  |  617  |   4    |     6      |     10    |     627      |   628    |
|   9   | 504  |  510  |  559  |   11   |     12     |     23    |     582      |   583    |
|   11  | 272  |  292  |  299  |   2    |     6      |     8     |     307      |   308    |
|   13  |  16  |   57  |   59  |   0    |     11     |     11    |      70      |    71    |
|   14  |  22  |   33  |   36  |   0    |     4      |     4     |      40      |    31    |
|   15  | 2650 |  2667 |  2750 |   15   |    375     |    390    |     3140     |   3141   |
|   16  |  61  |   67  |   68  |   0    |     2      |     2     |      70      |    71    |
|   17  | 176  |  176  |  185  |   21   |     2      |     23    |     208      |   209    |
|   19  | 336  |  336  |  360  |   5    |     5      |     10    |     370      |   371    |
|   20  | 394  |  399  |  433  |   6    |    450     |    456    |     889      |   889    |
|   21  |  45  |   46  |   53  |   2    |     2      |     4     |      57      |    58    |
|   23  | 3166 |  3163 |  3223 |  192   |     17     |    209    |     3432     |   3077   |
|   25  |  53  |   74  |   75  |   0    |     6      |     6     |      81      |    82    |
|   26  | 2458 |  2458 |  2514 |   60   |     8      |     68    |     2582     |   2583   |
|   27  |  34  |   37  |   40  |   0    |     2      |     2     |      42      |    42    |
|   28  |  25  |   24  |   36  |   4    |     3      |     7     |      43      |    43    |
|   29  | 3108 |  3140 |  3158 |   4    |     18     |     22    |     3180     |   3181   |
|   30  | 142  |  149  |  161  |   3    |     5      |     8     |     169      |   170    |
+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
