+---	Nodes in Step 1	---+

+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
| Part# | +-- | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique | Nodes in |
+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
|       |  L1 |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |  Graph   |
|       |     |       |       |        |            |           |              |          |
|   1   |  4  |   6   |   10  |   0    |     3      |     3     |      13      |    16    |
|   2   | 180 |  180  |  360  |   92   |     18     |    110    |     470      |   2679   |
|   3   |  11 |   11  |   22  |   52   |     4      |     56    |      78      |   153    |
|   4   |  7  |   7   |   14  |   8    |     1      |     9     |      23      |    26    |
|   6   |  4  |   16  |   20  |   0    |     5      |     5     |      25      |   302    |
|   7   |  11 |   11  |   22  |   90   |     3      |     93    |     115      |   231    |
|   8   |  10 |   17  |   27  |   4    |     6      |     10    |      37      |   628    |
|   9   |  49 |   55  |  104  |   11   |     12     |     23    |     127      |   583    |
|   11  |  7  |   27  |   34  |   2    |     6      |     8     |      42      |   308    |
|   13  |  1  |   44  |   45  |   0    |     11     |     11    |      56      |    71    |
|   14  |  3  |   14  |   17  |   0    |     4      |     4     |      21      |    41    |
|   15  |  83 |  100  |  183  |   15   |    375     |    390    |     573      |   3141   |
|   16  |  1  |   7   |   8   |   0    |     2      |     2     |      10      |    71    |
|   17  |  9  |   9   |   18  |   21   |     2      |     23    |      41      |   209    |
|   19  |  24 |   24  |   48  |   5    |     5      |     10    |      58      |   371    |
|   20  |  33 |   39  |   72  |   6    |    450     |    456    |     528      |   889    |
|   21  |  7  |   8   |   15  |   2    |     2      |     4     |      19      |    58    |
|   23  |  60 |   57  |  117  |  192   |     17     |    209    |     326      |   3433   |
|   25  |  1  |   22  |   23  |   0    |     6      |     6     |      29      |    82    |
|   26  |  56 |   56  |  112  |   60   |     8      |     68    |     180      |   2583   |
|   27  |  2  |   6   |   8   |   0    |     2      |     2     |      10      |    42    |
|   28  |  11 |   11  |   22  |   4    |     3      |     7     |      29      |    43    |
|   29  |  18 |   50  |   68  |   4    |     18     |     22    |      90      |   3181   |
|   30  |  12 |   19  |   31  |   3    |     5      |     8     |      39      |   170    |
+-------+-----+-------+-------+--------+------------+-----------+--------------+----------+
