+---	Nodes in Step 2	---+

+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
| Part# | +--  | Seeds |  --+  |   +-   | Gold label |     -+    | Total unique | Nodes in |
+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
|       |  L1  |   L2  | Total | L1gold |   L2gold   | Totalgold |    nodes     |  Graph   |
|       |      |       |       |        |            |           |              |          |
|   1   |  10  |   12  |   16  |   0    |     3      |     3     |      16      |    16    |
|   2   | 2499 |  2602 |  2679 |   92   |     18     |    110    |     2771     |   2388   |
|   3   | 142  |  142  |  153  |   52   |     4      |     56    |     153      |   153    |
|   4   |  19  |   19  |   26  |   8    |     1      |     9     |      26      |    26    |
|   6   | 286  |  298  |  302  |   0    |     5      |     5     |     302      |   302    |
|   7   | 220  |  220  |  231  |   90   |     3      |     93    |     231      |   231    |
|   8   | 611  |  618  |  628  |   4    |     6      |     10    |     628      |   628    |
|   9   | 528  |  534  |  583  |   11   |     12     |     23    |     583      |   583    |
|   11  | 281  |  301  |  308  |   2    |     6      |     8     |     308      |   308    |
|   13  |  27  |   70  |   71  |   0    |     11     |     11    |      71      |    71    |
|   14  |  27  |   38  |   41  |   0    |     4      |     4     |      41      |    31    |
|   15  | 3041 |  3058 |  3141 |   15   |    375     |    390    |     3141     |   3141   |
|   16  |  64  |   70  |   71  |   0    |     2      |     2     |      71      |    71    |
|   17  | 200  |  200  |  209  |   21   |     2      |     23    |     209      |   209    |
|   19  | 347  |  347  |  371  |   5    |     5      |     10    |     371      |   371    |
|   20  | 850  |  856  |  889  |   6    |    450     |    456    |     889      |   889    |
|   21  |  50  |   51  |   58  |   2    |     2      |     4     |      58      |    58    |
|   23  | 3376 |  3373 |  3433 |  192   |     17     |    209    |     3433     |   3077   |
|   25  |  60  |   81  |   82  |   0    |     6      |     6     |      82      |    82    |
|   26  | 2527 |  2527 |  2583 |   60   |     8      |     68    |     2583     |   2583   |
|   27  |  36  |   40  |   42  |   0    |     2      |     2     |      42      |    42    |
|   28  |  32  |   32  |   43  |   4    |     3      |     7     |      43      |    43    |
|   29  | 3131 |  3163 |  3181 |   4    |     18     |     22    |     3181     |   3181   |
|   30  | 151  |  158  |  170  |   3    |     5      |     8     |     170      |   170    |
+-------+------+-------+-------+--------+------------+-----------+--------------+----------+
