+---	Results for Step 2 part 26	---+


Results as compiled on 20-08-2016 18:25


+-----------+--------------+-------+
|   Detail  |      L1      |   L2  |
+-----------+--------------+-------+
| Precision | 2.3818975784 |  12.5 |
|   Recall  |    100.0     | 100.0 |
|  Accuracy |      =>      | 100.0 |
+-----------+--------------+-------+

+-------+------------------------------+-----------+---------+----------------------+-----------------------+
|  Node |           Mapping            | Goldlabel | Predict |    L1 confidence     |      L2confidence     |
+-------+------------------------------+-----------+---------+----------------------+-----------------------+
|  N344 |          gAti->gatI          |     -     |    L1   | 0.09099993888671806  |  0.050366696209273976 |
|  N345 |          gAti->gat           |     -     |    L1   | 0.09100621364578872  |  0.050369515451323996 |
|  N346 |      upaSAnti->upaSAnta      |     -     |    L1   | 0.09112581847619296  |  0.050816648059686685 |
|  N347 |        udBUti->udBUta        |     -     |    L1   | 0.09065586773728747  |  0.050963693933154135 |
|  N340 |          sAhi->sAh           |     -     |    L1   | 0.07936201799961846  |  0.03922024522392146  |
|  N341 |          gAti->gata          |     -     |    L1   | 0.08955372570610182  |  0.06804750436622434  |
|  N342 |          gAti->gAtA          |     -     |    L1   | 0.07153905766634035  |  0.03356359310607703  |
|  N343 |          gAti->gati          |     -     |    L1   | 0.09114557625275468  |  0.05059147494245094  |
|  N348 |       avyApti->avyApta       |     -     |    L1   | 0.09073105239744561  |  0.05056646592381385  |
|  N349 |    ekaviMSati->ekaviMSat     |     -     |    L1   |  0.0917106390679166  |  0.05069205515287519  |
| N1653 |         spfSi->spfS          |     -     |    L1   | 0.07939011655175815  |  0.039036826432619874 |
| N2318 |       sOnandi->sunanda       |     -     |    L1   | 0.09123738841600751  |  0.06738190113242457  |
| N2319 |       sOnandi->sunandA       |     -     |    L1   | 0.09256594446082664  |  0.05185099268349494  |
| N2316 |         vfzwi->vfzwa         |     -     |    L1   | 0.09054679553723863  |  0.050291244537834616 |
| N2317 |       sOnandi->sOnanda       |     -     |    L1   | 0.09159637955682744  |  0.05422507468939941  |
| N2314 |         aSIti->aSIta         |     -     |    L1   | 0.09065574424977149  |  0.05043397582421577  |
| N2315 |         vfzwi->vfzwi         |     -     |    L2   | 0.006832826908508423 |   0.9278481664690055  |
| N2312 |         stuti->stut          |     -     |    L1   | 0.07960487504863743  |  0.03965010379720872  |
| N2313 |      pradIpti->pradIpta      |     -     |    L1   | 0.09120530973984858  |  0.05153713474761697  |
| N2310 |     kAmandaki->kAmandakI     |     -     |    L1   | 0.09138813990140421  |  0.05100434257678629  |
| N2311 |         stuti->stuta         |     -     |    L1   | 0.09202139650398151  |  0.05136604496822331  |
|  N298 |         Kalli->KallI         |     -     |    L1   | 0.09142175778056816  |  0.050344067786968844 |
|  N299 |         Kalli->Kall          |     -     |    L1   | 0.09142826712575064  |  0.050346776195159954 |
|  N296 |         svApi->svapi         |     -     |    L1   |  0.0928376910038667  |  0.051532718382707315 |
|  N297 |         Kalli->Kalla         |     -     |    L1   | 0.09088049086358477  |  0.05032609444563682  |
|  N294 |         svApi->svApa         |     -     |    L1   | 0.09183873653746155  |  0.05388136990650804  |
|  N295 |         svApi->svapa         |     -     |    L1   | 0.09139347881193892  |  0.06749841105517881  |
|  N292 |        aSruti->aSruta        |     -     |    L1   | 0.09160352282561966  |  0.05122651564021548  |
|  N293 |         svApi->svap          |     L1    |    L1   | 0.37575185692098456  |  0.041575329649795705 |
|  N290 |        mAlati->malatA        |     -     |    L1   | 0.09161655865396376  |  0.05062057454784429  |
|  N291 |        mAlati->mAlatI        |     -     |    L1   | 0.09160330075520556  |  0.05061003436530208  |
| N2147 |         vfzRi->vfzRI         |     -     |    L1   | 0.07164416746463946  |  0.03336545323977688  |
|  N270 |          kfti->kftA          |     -     |    L1   |  0.0730084651133165  |   0.0344211362485179  |
|  N271 |          kfti->kftI          |     -     |    L1   | 0.07208515201829788  |   0.0335926560093242  |
|  N272 |          kfti->kft           |     -     |    L1   |  0.0720669980553996  |  0.03356810911047426  |
|  N273 |        AKyAti->AKyAta        |     -     |    L1   | 0.09026731618716598  |  0.05325485816116053  |
|  N274 |        AKyAti->aKyAta        |     -     |    L1   | 0.08961638214582406  |  0.06782238642370557  |
|  N275 |        AKyAti->AKyAtA        |     -     |    L1   |  0.0715331828241711  |  0.03355410005754612  |
|  N276 |        AKyAti->aKyAti        |     -     |    L1   | 0.09118705150536033  |  0.05059778326767147  |
|  N277 |          pUti->pUta          |     -     |    L1   | 0.09053995475529393  |  0.050447579561674914 |
|  N278 |          pUti->pUtA          |     -     |    L1   | 0.07203877627580894  |  0.033914988645236954 |
|  N279 |          pUti->pUt           |     -     |    L1   |  0.0709880253327972  |  0.032988918660510236 |
| N1780 |       BrUkuwi->BrUkuwI       |     -     |    L1   | 0.07787561970892272  |  0.03855058475429826  |
| N2146 |         vfzRi->vfzRa         |     -     |    L1   | 0.09059232006655675  |  0.05033837976922107  |
| N2268 |        kAkaRi->kAkaRI        |     -     |    L1   | 0.09130105876883104  |  0.05040196294223973  |
| N2269 |         dfzwi->dfzwa         |     -     |    L1   | 0.09033671113349451  |  0.050622757683709725 |
| N2262 |         drORi->drORI         |     -     |    L1   | 0.07650660592971884  |  0.03903326676026146  |
| N2263 |         drORi->droRI         |     -     |    L1   | 0.07650842742743015  |  0.03903809701752153  |
| N2260 |         drORi->droRA         |     -     |    L1   |  0.0770896667347432  |  0.03948775417660752  |
| N2261 |         drORi->droRi         |     -     |    L1   | 0.07707343724515607  |  0.03963192422983154  |
| N2266 |         agati->agata         |     -     |    L1   | 0.09045519043805474  |  0.05040500368918679  |
| N2267 |        kAkaRi->kAkaRa        |     -     |    L1   | 0.09049091403713928  |  0.053161865616474166 |
| N2264 |         drORi->druR          |     -     |    L1   | 0.07760799541649438  |  0.03973087017395045  |
| N2265 |        avftti->avftta        |     -     |    L1   | 0.09059632199310358  |  0.05048902355181239  |
| N2442 |         sPIti->sPIta         |     -     |    L1   | 0.09180500150541078  |  0.05125851668290074  |
| N2443 |         sPIti->sPItI         |     -     |    L1   | 0.07864386823558096  |  0.03898316790754747  |
| N2440 |        sumAli->sumAlA        |     -     |    L1   | 0.08126258958637655  |  0.04029925196955716  |
| N2441 |        sumAli->sumAlI        |     -     |    L1   | 0.08125963227916312  |  0.04030559370274432  |
| N1781 |          niri->nirI          |     -     |    L1   | 0.07682538946466766  |  0.038437930602433286 |
| N2447 |           Ani->anA           |     -     |    L1   | 0.09114263687341054  |  0.05050573930246132  |
| N2445 |           Ani->Ana           |     -     |    L1   | 0.09031170810726653  |  0.05327193788444288  |
| N2448 |           Ani->ani           |     -     |    L1   | 0.09124180139625597  |  0.050645466076817296 |
| N2449 |           Ani->AnI           |     -     |    L1   | 0.07213769052172848  |  0.03404329779624395  |
| N2189 |         Dfzwi->Dfzwa         |     -     |    L1   | 0.09039051735275158  |  0.05021956227093631  |
|  N108 |         SAnti->SAnta         |     -     |    L1   | 0.09054175082692392  |  0.05334583315517842  |
|  N109 |         SAnti->Santa         |     -     |    L1   | 0.08988936696650039  |  0.06778690639257229  |
|  N102 |          kuRi->kuRa          |     -     |    L1   | 0.09093328208023709  |  0.05041007695902648  |
|  N103 |          SAdi->SAda          |     -     |    L1   | 0.09036731287689186  |   0.0534996374786858  |
|  N100 |    dvAviMSati->dvAviMSat     |     -     |    L1   | 0.09145757827641524  |  0.05108928416769023  |
|  N101 |          kuRi->kuR           |     L1    |    L1   |  0.8929412806830322  |  0.006095922281133199 |
|  N106 |          SAdi->Sad           |     -     |    L1   | 0.09113692839830714  |  0.050728875959819716 |
|  N107 |       Brakuwi->BrakuwI       |     -     |    L1   |  0.0921586102853316  |  0.05119097586746466  |
|  N104 |          SAdi->Sada          |     -     |    L1   | 0.08965377782204109  |  0.06831611244524077  |
|  N105 |          SAdi->Sadi          |     -     |    L1   | 0.09127512174690185  |  0.05090589785834051  |
| N2046 |        ASakti->ASakta        |     -     |    L1   | 0.09069686462656112  |  0.053262753682085946 |
| N2047 |        ASakti->aSakta        |     -     |    L1   |  0.0900023771293277  |  0.06775126428301573  |
| N2044 |      atisakti->atisakta      |     -     |    L1   | 0.09211499846025457  |  0.05146769946111979  |
| N2045 |     nAgabudDi->nAgabudDa     |     -     |    L1   | 0.09049561611898163  |  0.053715834994763074 |
| N2042 |       svIkfti->svIkfta       |     -     |    L1   |  0.0921064918075139  |  0.051341362335328676 |
| N2043 |       lOgAkzi->logAkza       |     -     |    L1   | 0.09020287289468629  |  0.06781820354501666  |
| N2040 |        SfNgi->SfNgAra        |     -     |    L2   | 0.06982583111041439  |  0.35436589813639024  |
| N2041 |        pOluzi->puluza        |     -     |    L1   | 0.09025814606923199  |  0.06806405568303947  |
| N2048 |        ASakti->aSaktA        |     -     |    L1   | 0.09147009527266957  |  0.050477426290583466 |
| N2049 |        ASakti->aSakti        |     -     |    L1   | 0.09156943735366979  |  0.05062161102121496  |
| N2038 |        anvADi->anvADI        |     -     |    L1   | 0.09127483742620424  |  0.05059300381594835  |
| N1001 |        BrAnti->BrAnta        |     -     |    L1   |  0.0910739017325639  |  0.053857923565170225 |
| N1655 |         Akfti->Akfta         |     -     |    L1   | 0.09048895426846136  |  0.05324692287615457  |
|  N98  |       aBiruci->aBiruc        |     -     |    L1   | 0.09209055014470365  |  0.05131037038978884  |
|  N91  |         GUrRi->GUrRa         |     -     |    L1   |  0.0912098026525906  |  0.05095553150936697  |
|  N90  |          gfDi->gfD           |     -     |    L1   | 0.06993932152019831  |  0.03200319100771192  |
|  N93  |         tfpti->tfpta         |     -     |    L1   | 0.09053502276517733  |  0.05044705668601273  |
|  N92  |         GUrRi->GUrR          |     -     |    L1   | 0.07585969398873973  |  0.037325823074091324 |
|  N95  |         vyAqi->vyaqa         |     -     |    L1   | 0.08964220225901366  |  0.06824020537258634  |
|  N94  |         vyAqi->vyAqa         |     -     |    L1   | 0.09036456983390052  |  0.05318259794247809  |
|  N97  |      prAhlAdi->prahlAdI      |     -     |    L1   | 0.09226151072735166  |  0.05154982140792828  |
|  N96  |      prAhlAdi->prahlAda      |     -     |    L1   | 0.09091436749258507  |  0.06759515277410214  |
| N1991 |          vici->vic           |     -     |    L1   |  0.9722872183010332  |  0.001193566285366807 |
| N1622 |       aBijiti->aBijit        |     -     |    L1   | 0.09116717550581474  |  0.050598434968768057 |
| N1621 |       aBijiti->aBijita       |     -     |    L1   | 0.09061862697043195  |  0.05062863678936043  |
| N1620 |      prAYjali->prAYjala      |     -     |    L1   | 0.09151001176661773  |  0.05378012387608853  |
| N1627 |        vyfdDi->vyfdDa        |     -     |    L1   | 0.09046356298411487  |  0.05070689881717532  |
| N1994 |          sfti->sft           |     -     |    L1   | 0.07802829460504766  |  0.037507144678426245 |
| N1997 |        dyumni->dyumna        |     -     |    L1   | 0.08263074559346792  |  0.044320998450149224 |
| N1996 |     SOdDodani->SudDodani     |     -     |    L1   | 0.08961367755454992  |  0.04961765319842508  |
| N1999 |          kati->kat           |     -     |    L1   |  0.4018245853522076  |  0.039643487773229916 |
| N1998 |          sOci->sUci          |     -     |    L2   | 0.02651662768080363  |   0.7582157374621517  |
| N1629 |         ratni->ratnA         |     -     |    L1   | 0.09182415883026052  |  0.051226709313477864 |
| N1628 |         ratni->ratna         |     -     |    L1   | 0.08943244794742279  |  0.04968697195316856  |
|  N559 |          mOli->mul           |     -     |    L1   |  0.0740748945849914  |  0.03437298689076249  |
|  N558 |          mOli->mUlI          |     -     |    L1   | 0.07251641975149294  |  0.03319276579910653  |
|  N555 |          mOli->mUla          |     -     |    L1   | 0.09008473523600546  |   0.0682956534190046  |
|  N554 |          mOli->mOla          |     -     |    L1   |  0.0907525859965636  |  0.05329836276482935  |
|  N557 |          mOli->mUlA          |     -     |    L1   | 0.07339818997730559  |  0.03405619629986667  |
|  N556 |          mOli->mOlA          |     -     |    L1   |  0.0733901977775067  |  0.03405172472029287  |
|  N551 |         pyAyi->pyAy          |     L1    |    L1   |  0.9325376955092725  | 0.0034761550344523844 |
|  N550 |         BaYji->BaYj          |     -     |    L1   | 0.09104232104153039  |  0.05033144936854085  |
|  N553 |          mOli->mUl           |     L1    |    L1   |  0.9479729664525591  |  0.00286199582825876  |
|  N552 |      vAjasani->vAjasana      |     -     |    L1   | 0.09184552751417692  |  0.05397049811779935  |
| N1439 |       viMSati->viMSat        |     -     |    L1   |  0.0914603143716119  |  0.050667288236510184 |
| N1199 |    zawsaptati->zawsaptata    |     -     |    L1   |  0.0918888240355835  |  0.05130456314704104  |
| N1198 |          kuli->kulI          |     -     |    L1   | 0.07481824908797167  |  0.034667269108875284 |
| N1191 |     sahapatni->sahapatnI     |     -     |    L1   |  0.0926080761839259  |  0.05145969506386526  |
| N1190 |          mfti->mft           |     -     |    L1   | 0.07117005576555396  |  0.03321035092635269  |
| N1193 |         tuRqi->tuRqI         |     -     |    L1   |  0.0726076235980702  |  0.03427449221020661  |
| N1192 |         tuRqi->tuRqa         |     -     |    L1   | 0.09071924975624478  |  0.05046224172893145  |
| N1195 |          kuli->kul           |     -     |    L1   |  0.887172628224635   |  0.006522497212682212 |
| N1194 |       anumiti->anumita       |     -     |    L1   | 0.09104124339636076  |  0.05094630239164328  |
| N1197 |          kuli->kulA          |     -     |    L1   | 0.07553960367519875  |  0.03539687843356651  |
| N1196 |          kuli->kula          |     -     |    L1   | 0.09135271630926026  |  0.050485238877719496 |
| N1759 |        kApAli->kapAli        |     -     |    L1   | 0.09187918498400827  |   0.0506418974316743  |
| N1758 |        kApAli->kapAla        |     -     |    L1   | 0.09034011424175636  |  0.06779454769517555  |
| N1757 |        kApAli->kApAla        |     -     |    L1   |  0.0909936304678032  |  0.05325212070914701  |
| N1756 |        nihiti->nihita        |     -     |    L1   | 0.09079615673261654  |  0.05071999478930733  |
| N1755 |       prapARi->prapARa       |     -     |    L1   | 0.09134528662501631  |  0.051088496822967545 |
| N1754 |      aBiprIti->aBiprIta      |     -     |    L1   | 0.09139581365859481  |  0.05132936451874532  |
| N1753 |     kAkzaseni->kakzasena     |     -     |    L1   | 0.09124879584589558  |  0.06737110042183454  |
| N1752 |    pratyUzasi->pratyUzas     |     -     |    L1   | 0.09301356674156173  |   0.0519365977578896  |
| N1751 |     mahAkarRi->mahAkarRa     |     -     |    L1   | 0.09172157960154516  |  0.051174854747541625 |
| N1750 |       sAMkfti->saMkft        |     -     |    L1   | 0.09252786379104884  |  0.05126962036704052  |
| N1177 |       vikarRi->vikarRa       |     -     |    L1   |  0.0916697600158714  |  0.05128064200084594  |
| N1176 |         tanti->tantI         |     -     |    L1   | 0.09113030838303016  |  0.050655456471191726 |
| N1175 |         KyAti->KyAtI         |     -     |    L1   | 0.07155496944949542  |  0.03357934604236857  |
| N1174 |         KyAti->KyAta         |     -     |    L1   | 0.09027172415843114  |  0.053257460848865144 |
| N1173 |     paripuzwi->paripuzwa     |     -     |    L1   | 0.09164829181697061  |  0.05135948850678705  |
| N1172 |       sAhaYji->sAhaYja       |     -     |    L1   | 0.09177055592928593  |  0.05379598098907913  |
| N1171 |          mfji->mfj           |     -     |    L1   | 0.07079468754488316  |  0.032597812593478506 |
| N1170 |          mfji->mfjA          |     -     |    L1   | 0.07186679007257048  |  0.03355710720248706  |
| N1179 |         nandi->nandA         |     -     |    L1   | 0.09110204077863249  |  0.05096710987251604  |
| N1178 |         nandi->nanda         |     -     |    L1   | 0.09049120661459834  |  0.050854387926832154 |
|  N511 |          dadi->dad           |     -     |    L1   | 0.09093774940131423  |  0.05069592943259924  |
|  N510 |          dadi->dadA          |     -     |    L1   | 0.09098100282281461  |  0.05073301273929953  |
|  N513 |     pratiniDi->pratiniDA     |     -     |    L1   | 0.09200042218587938  |  0.051503047462450005 |
| N1285 |          mAli->mali          |     -     |    L1   | 0.09167192204523647  |  0.05061736793450367  |
