+---	Results for Step 3 part 29	---+


Results as compiled on 20-08-2016 18:28


+-----------+---------------+----------------+
|   Detail  |       L1      |       L2       |
+-----------+---------------+----------------+
| Precision | 18.1818181818 | 0.569800569801 |
|   Recall  |     100.0     |     100.0      |
|  Accuracy |       =>      |     100.0      |
+-----------+---------------+----------------+

+-------+------------------------------------------+-----------+---------+-----------------------+----------------------+
|  Node |                 Mapping                  | Goldlabel | Predict |     L1 confidence     |     L2confidence     |
+-------+------------------------------------------+-----------+---------+-----------------------+----------------------+
|  N344 |            visarpaka->visarpa            |     -     |    L2   |  0.01779187437033971  | 0.06279188328815655  |
|  N345 |           apAmArgaka->apAmArga           |     -     |    L2   |  0.017503504163236778 | 0.06261642681552022  |
|  N346 |               deSaka->deSa               |     -     |    L2   |  0.017450651293607133 | 0.06193081891227192  |
|  N347 |              ABIraka->ABIra              |     -     |    L2   |  0.019411163998008078 | 0.06320890324546456  |
|  N340 |              pAdyaka->pAdya              |     -     |    L2   |  0.019130669090493543 |  0.0627147377333818  |
|  N341 |              pAdyaka->padya              |     -     |    L2   |  0.024942378183288445 | 0.07103292748445356  |
|  N342 |        latAvezwitaka->latAvezwita        |     -     |    L2   |  0.01757546106251654  | 0.06194767527326883  |
|  N343 |           saMkalpaka->saMkalpa           |     -     |    L2   |  0.017704238972331084 | 0.061878955808062956 |
| N2918 |           upamardaka->upamarda           |     -     |    L2   |  0.012328648241274854 | 0.03879751218426061  |
|  N348 |              ABIraka->aBIra              |     -     |    L2   |  0.025322219335221767 |  0.0712998195962089  |
|  N349 |             kzudraka->kzudra             |     -     |    L2   |  0.016658757966798096 | 0.05101775132796752  |
| N3002 |        rIWAkaraYjaka->rIWAkaraYja        |     -     |    L2   |  0.016989865603491767 | 0.05969677742398299  |
| N2919 |             sunIlaka->sunIla             |     -     |    L2   |  0.012361952211133247 | 0.038140497721256106 |
| N1653 |              joNgaka->joNga              |     -     |    L2   |  0.014974552113180382 | 0.04734978306984989  |
| N2318 |             Cattraka->Cattra             |     -     |    L2   |  0.021256415461083616 | 0.06259160567725118  |
| N2319 |        raktavartmaka->raktavartma        |     -     |    L2   |  0.016500457911277012 |  0.056443379628374   |
| N2316 |             kaWoraka->kaWora             |     -     |    L2   |  0.013256513201577997 | 0.04226908402166826  |
| N2317 |             tIkzRaka->tIkzRa             |     -     |    L2   |  0.01601522772268748  | 0.054991008348322205 |
| N2314 |           maRipUraka->maRipUra           |     -     |    L2   |   0.0175215336309321  | 0.06281978825002434  |
| N2315 |             aDyAyaka->aDyAya             |     -     |    L2   |  0.012776997157252352 | 0.04134903163617913  |
| N2312 |            SlAGanaka->SlAGana            |     -     |    L2   |  0.01914458173063894  | 0.06262424894665866  |
| N2313 |             devalaka->devala             |     -     |    L2   |  0.017605861577743853 | 0.06212055660904965  |
| N2310 |            samAMSaka->samAMSa            |     -     |    L2   |  0.017715063533870153 | 0.06194142669966622  |
| N2311 |        karRABaraRaka->karRABaraRa        |     -     |    L2   |  0.017573620978460765 | 0.06281921737093306  |
|  N298 |       pAtanAyantraka->pAtanAyantra       |     -     |    L2   |  0.019349710876125782 | 0.06346160745351015  |
|  N299 |            vizkiraka->vizkira            |     -     |    L2   |  0.016165961023518576 | 0.05423789906329985  |
|  N296 |            ambikeyaka->ambikA            |     L2    |    L2   |  0.015299833262917381 |  0.3023728810295891  |
|  N297 |              vindaka->vinda              |     -     |    L2   |  0.017506371310876997 | 0.06213361038202941  |
|  N294 |           pradarSaka->pradarSa           |     -     |    L2   |  0.01847201716939714  | 0.06329786738992169  |
|  N295 |              sihlaka->sihla              |     -     |    L2   |  0.017737641692198252 | 0.06183421274193369  |
|  N292 |       SAlmalIvezwaka->SAlmalIvezwa       |     -     |    L2   |  0.019222979028493105 |  0.0625786837678134  |
|  N293 |            picciwaka->picciwa            |     -     |    L2   |  0.017404242584298013 | 0.06177350114929393  |
|  N290 |            suganDaka->suganDa            |     -     |    L2   |  0.018685767874659153 | 0.06225723722425983  |
|  N291 |           somarogaka->somaroga           |     -     |    L2   |  0.017757500437267513 |  0.0626910844127251  |
| N2147 |           pravfttaka->pravftta           |     -     |    L2   |  0.014477365362463268 | 0.34014443008787776  |
|  N270 |          tElaparRaka->tIlaparRa          |     -     |    L2   |  0.025661378944015722 | 0.07173615890740655  |
|  N271 |             pawolaka->pawola             |     -     |    L2   |  0.017473645136057772 |  0.0616473597023816  |
|  N272 |              cezwaka->cezwa              |     -     |    L2   |  0.017401199049065622 | 0.061529434903425474 |
|  N273 |               dehaka->deha               |     -     |    L2   |   0.0174421113452152  | 0.06186096484898123  |
|  N274 |           atiganDaka->atiganDa           |     -     |    L2   |  0.01738230724106794  | 0.06178423159354178  |
|  N275 |            avaSezaka->avaSeza            |     -     |    L2   |  0.017477593274236706 | 0.06171098348263325  |
|  N276 |            hiNgulaka->hiNgula            |     -     |    L2   |  0.01748031585975616  | 0.06173646441039227  |
|  N277 |         mftkarpawaka->mftkarpawa         |     -     |    L2   |  0.017536687603751818 | 0.06262061501049145  |
|  N278 |             sutAlaka->sutAla             |     -     |    L2   |  0.017758161284659745 | 0.061940880779022656 |
|  N279 |           ramaRIyaka->ramaRIya           |     -     |    L2   |  0.019079345186249933 | 0.06257718300417442  |
| N1780 |           aSvamAraka->aSvamAra           |     -     |    L2   |  0.01745762516759209  | 0.06160132557218758  |
| N2146 |             varaRaka->varaRa             |     -     |    L2   |  0.01882885352415876  |  0.0618119356868233  |
| N2268 |            prAGuRaka->prAGuRa            |     -     |    L2   |  0.015443397250703856 | 0.29688239707318437  |
| N2269 |         BasmagAtraka->BasmagAtra         |     -     |    L2   |  0.01773435163054582  | 0.06198064230593788  |
| N2262 |             utkuwaka->utkuwa             |     -     |    L2   |  0.01738074342187948  | 0.06160839943497877  |
| N2263 |          krIqanIyaka->krIqanIya          |     -     |    L2   |  0.01840699400269256  | 0.06287504945401132  |
